transaction_id,session_id,user_id,order_timestamp,order_date,device_category,country,source,medium,campaign,channel_group,order_value,item_revenue_sum,item_count,distinct_products,distinct_categories,categories,order_seq,is_first_order,days_since_previous_order,avg_item_value,order_hour,order_day_of_week,order_value_rank
T0002900,5645295.8919138454.1731348900,5645295.8919138454,2024-11-11 18:20:35.931942,2024-11-11,mobile,United States,google,cpc,brand_search,Paid,327.04,327.04,4.0,3,3,['Apparel' 'Electronics' 'Lifestyle'],1,True,,81.76,18,Monday,18
T0004005,5476136.9917429770.1732771182,5476136.9917429770,2024-11-28 05:23:00.081787,2024-11-28,desktop,India,google,cpc,brand_search,Paid,325.0,325.0,5.0,3,2,['Apparel' 'Lifestyle'],1,True,,65.0,5,Thursday,19
T0003615,6272843.9206813732.1732548627,6272843.9206813732,2024-11-25 15:33:19.113910,2024-11-25,mobile,Canada,newsletter,email,weekly_drop,Email,321.01,321.01,5.0,3,3,['Accessories' 'Apparel' 'Lifestyle'],1,True,,64.2,15,Monday,20
T0004409,2718800.3858977647.1732971238,2718800.3858977647,2024-11-30 13:07:58.271008,2024-11-30,tablet,Japan,(direct),(none),(direct),Direct,318.62,318.62,3.0,2,1,['Bags'],1,True,,106.21,13,Saturday,21
T0003886,4892518.9282565054.1732708952,4892518.9282565054,2024-11-27 12:03:05.843764,2024-11-27,mobile,United Kingdom,(direct),(none),(direct),Direct,315.87,315.87,4.0,3,3,['Accessories' 'Bags' 'Electronics'],1,True,,78.97,12,Wednesday,22
T0000113,3653735.6811851162.1725693669,3653735.6811851162,2024-09-07 07:20:25.298603,2024-09-07,mobile,United States,google,organic,(organic),Organic Search,311.9,311.9,4.0,3,3,['Accessories' 'Drinkware' 'Electronics'],1,True,,77.97,7,Saturday,23
T0000352,8849000.7412678281.1726356145,8849000.7412678281,2024-09-14 23:32:29.641655,2024-09-14,desktop,United States,partners,affiliate,coupon_partners,Affiliate,307.42,307.42,5.0,3,3,['Apparel' 'Bags' 'Lifestyle'],1,True,,61.48,23,Saturday,24
T0003202,5895004.8565245817.1731920143,5895004.8565245817,2024-11-18 09:00:58.606951,2024-11-18,desktop,United States,newsletter,email,weekly_drop,Email,306.07,306.07,4.0,3,2,['Electronics' 'Headgear'],1,True,,76.52,9,Monday,25
T0002612,4910754.2697509161.1730845776,4910754.2697509161,2024-11-05 22:30:00.428515,2024-11-05,desktop,United States,(direct),(none),(direct),Direct,299.35,299.35,3.0,3,3,['Accessories' 'Apparel' 'Electronics'],2,False,12,99.78,22,Tuesday,26
T0000907,6358934.6976601600.1727584963,6358934.6976601600,2024-09-29 04:44:13.099416,2024-09-29,mobile,United States,(direct),(none),(direct),Direct,295.1,295.1,4.0,2,2,['Apparel' 'Bags'],1,True,,73.78,4,Sunday,27
T0000402,9121053.6008851044.1726486442,9121053.6008851044,2024-09-16 11:38:10.626364,2024-09-16,desktop,Japan,youtube.com,referral,(referral),Referral,293.66,293.66,5.0,3,2,['Apparel' 'Lifestyle'],1,True,,58.73,11,Monday,28
T0002620,7112466.7059868066.1730861060,7112466.7059868066,2024-11-06 02:48:11.737806,2024-11-06,desktop,United Kingdom,(direct),(none),(direct),Direct,293.03,293.03,5.0,3,3,['Accessories' 'Apparel' 'Lifestyle'],1,True,,58.61,2,Wednesday,29
T0001573,5784646.4585608247.1729024254,5784646.4585608247,2024-10-15 20:25:52.320531,2024-10-15,desktop,France,newsletter,email,weekly_drop,Email,289.1,289.1,3.0,3,3,['Bags' 'Electronics' 'Lifestyle'],1,True,,96.37,20,Tuesday,30
T0003411,7230349.2038170178.1732280146,7230349.2038170178,2024-11-22 12:56:57.856056,2024-11-22,desktop,United States,google,organic,(organic),Organic Search,288.56,288.56,2.0,2,2,['Electronics' 'Lifestyle'],1,True,,144.28,12,Friday,31
T0003015,9864501.5195868542.1731562129,9864501.5195868542,2024-11-14 05:35:17.025637,2024-11-14,desktop,Netherlands,google,organic,(organic),Organic Search,287.49,287.49,5.0,3,3,['Accessories' 'Apparel' 'Lifestyle'],1,True,,57.5,5,Thursday,32
T0000218,1920136.4096443331.1726011474,1920136.4096443331,2024-09-10 23:39:08.866866,2024-09-10,desktop,Canada,google,organic,(organic),Organic Search,284.7,284.7,3.0,2,1,['Bags'],1,True,,94.9,23,Tuesday,33
T0001893,1289469.8373091953.1729628456,1289469.8373091953,2024-10-22 20:14:16.320886,2024-10-22,desktop,United States,google,cpc,brand_search,Paid,284.29,284.29,3.0,2,2,['Apparel' 'Bags'],1,True,,94.76,20,Tuesday,34
T0001276,3085985.6404123225.1728418456,3085985.6404123225,2024-10-08 20:06:40.486026,2024-10-08,desktop,United States,google,cpc,brand_search,Paid,279.12,279.12,4.0,3,3,['Accessories' 'Bags' 'Lifestyle'],1,True,,69.78,20,Tuesday,35
T0004037,2556506.9829313836.1732792893,2556506.9829313836,2024-11-28 11:20:45.066224,2024-11-28,tablet,United States,(direct),(none),(direct),Direct,278.91,278.91,4.0,3,3,['Accessories' 'Apparel' 'Electronics'],1,True,,69.73,11,Thursday,36
T0002268,5950706.8978742783.1730299674,5950706.8978742783,2024-10-30 14:52:17.745571,2024-10-30,mobile,United States,(direct),(none),(direct),Direct,273.76,273.76,3.0,3,3,['Apparel' 'Electronics' 'Office'],1,True,,91.25,14,Wednesday,37
T0003537,6439601.8227531511.1732483605,6439601.8227531511,2024-11-24 21:25:51.678561,2024-11-24,desktop,United Kingdom,google,cpc,brand_search,Paid,272.88,272.88,4.0,3,3,['Accessories' 'Apparel' 'Electronics'],1,True,,68.22,21,Sunday,38
T0001386,1907687.2122251647.1728662804,1907687.2122251647,2024-10-11 16:04:04.748714,2024-10-11,desktop,India,(direct),(none),(direct),Direct,271.47,271.47,3.0,2,2,['Accessories' 'Electronics'],1,True,,90.49,16,Friday,39
T0001997,8516511.1779690595.1729806404,8516511.1779690595,2024-10-24 21:42:58.786723,2024-10-24,desktop,Netherlands,(direct),(none),(direct),Direct,270.33,270.33,5.0,3,2,['Electronics' 'Lifestyle'],1,True,,54.07,21,Thursday,40
T0002667,3623321.3331397452.1730937609,3623321.3331397452,2024-11-07 00:14:24.510809,2024-11-07,desktop,United States,google,cpc,brand_search,Paid,269.11,269.11,3.0,3,3,['Accessories' 'Electronics' 'Office'],1,True,,89.7,0,Thursday,41
T0000217,2313364.9298753911.1726007502,2313364.9298753911,2024-09-10 22:41:41.114028,2024-09-10,mobile,Germany,newsletter,email,weekly_drop,Email,268.64,268.64,2.0,1,1,['Electronics'],2,False,3,134.32,22,Tuesday,42
T0000863,2828737.3509079402.1727498447,2828737.3509079402,2024-09-28 04:45:32.716298,2024-09-28,mobile,United States,partners,affiliate,coupon_partners,Affiliate,268.56,268.56,5.0,2,2,['Bags' 'Drinkware'],1,True,,53.71,4,Saturday,43
T0002361,2692395.3011864663.1730449838,2692395.3011864663,2024-11-01 08:34:05.410550,2024-11-01,mobile,Japan,newsletter,email,weekly_drop,Email,267.05,267.05,3.0,2,2,['Bags' 'Lifestyle'],1,True,,89.02,8,Friday,44
T0002355,6321240.8678771745.1730431257,6321240.8678771745,2024-11-01 03:29:32.842151,2024-11-01,tablet,United States,google,cpc,shopping_feed,Paid,266.8,266.8,4.0,3,3,['Accessories' 'Drinkware' 'Electronics'],1,True,,66.7,3,Friday,45
T0002115,1017446.9751100267.1730009130,1017446.9751100267,2024-10-27 06:23:50.928707,2024-10-27,mobile,United States,newsletter,email,weekly_drop,Email,262.84,262.84,4.0,2,1,['Apparel'],1,True,,65.71,6,Sunday,46
T0002067,4031731.9279444649.1729938902,4031731.9279444649,2024-10-26 10:34:28.447943,2024-10-26,mobile,Canada,google,cpc,brand_search,Paid,261.54,261.54,2.0,1,1,['Electronics'],1,True,,130.77,10,Saturday,47
T0002859,9626221.2577354248.1731273847,9626221.2577354248,2024-11-10 21:23:29.508653,2024-11-10,desktop,United States,google,organic,(organic),Organic Search,261.54,261.54,2.0,1,1,['Electronics'],1,True,,130.77,21,Sunday,47
T0002410,8704054.3073007092.1730519374,8704054.3073007092,2024-11-02 03:56:14.925199,2024-11-02,desktop,United States,(direct),(none),(direct),Direct,261.25,261.25,5.0,3,3,['Accessories' 'Bags' 'Headgear'],1,True,,52.25,3,Saturday,48
T0002237,1506093.9448649656.1730225442,1506093.9448649656,2024-10-29 18:31:42.738966,2024-10-29,desktop,Singapore,newsletter,email,weekly_drop,Email,260.67,260.67,5.0,3,3,['Accessories' 'Bags' 'Office'],2,False,5,52.13,18,Tuesday,49
T0000631,5405866.8396867913.1727010120,5405866.8396867913,2024-09-22 13:03:26.074680,2024-09-22,desktop,United States,google,organic,(organic),Organic Search,258.42,258.42,4.0,2,2,['Accessories' 'Bags'],2,False,13,64.61,13,Sunday,50
T0000482,7101883.6053462751.1726681145,7101883.6053462751,2024-09-18 17:44:22.425231,2024-09-18,desktop,India,google,cpc,brand_search,Paid,254.8,254.8,4.0,2,2,['Apparel' 'Bags'],1,True,,63.7,17,Wednesday,51
T0000552,1157649.5558348486.1726836299,1157649.5558348486,2024-09-20 12:46:36.943963,2024-09-20,mobile,Canada,(direct),(none),(direct),Direct,253.8,253.8,6.0,3,3,['Accessories' 'Apparel' 'Office'],1,True,,42.3,12,Friday,52
T0003153,2818019.2685594273.1731836323,2818019.2685594273,2024-11-17 09:42:11.897544,2024-11-17,desktop,United States,google,organic,(organic),Organic Search,253.78,253.78,4.0,3,2,['Apparel' 'Bags'],1,True,,63.45,9,Sunday,53
T0000769,2451591.7840702731.1727293728,2451591.7840702731,2024-09-25 19:41:48.391325,2024-09-25,desktop,Germany,youtube.com,referral,(referral),Referral,253.69,253.69,3.0,3,3,['Apparel' 'Electronics' 'Office'],1,True,,84.56,19,Wednesday,54
T0003797,5927017.9582124025.1732655962,5927017.9582124025,2024-11-26 21:17:35.411703,2024-11-26,desktop,United States,partners,affiliate,coupon_partners,Affiliate,253.59,253.59,4.0,3,2,['Apparel' 'Lifestyle'],1,True,,63.4,21,Tuesday,55
T0002640,9462771.2071100184.1730902247,9462771.2071100184,2024-11-06 14:21:08.605459,2024-11-06,mobile,Mexico,google,organic,(organic),Organic Search,251.8,251.8,3.0,3,3,['Accessories' 'Electronics' 'Lifestyle'],1,True,,83.93,14,Wednesday,56
T0003364,2871667.3418073687.1732198856,2871667.3418073687,2024-11-21 14:30:43.126577,2024-11-21,mobile,United States,partners,affiliate,coupon_partners,Affiliate,250.93,250.93,4.0,3,3,['Accessories' 'Apparel' 'Bags'],2,False,27,62.73,14,Thursday,57
T0002040,5196757.3542385338.1729881747,5196757.3542385338,2024-10-25 18:50:38.628323,2024-10-25,desktop,United States,google,cpc,brand_search,Paid,249.21,249.21,3.0,3,2,['Electronics' 'Lifestyle'],1,True,,83.07,18,Friday,58
T0000138,1027191.3347601913.1725757426,1027191.3347601913,2024-09-08 01:12:07.810310,2024-09-08,mobile,Japan,newsletter,email,weekly_drop,Email,248.95,248.95,3.0,3,2,['Electronics' 'Office'],1,True,,82.98,1,Sunday,59
T0000974,3544968.9862270469.1727732295,3544968.9862270469,2024-09-30 21:43:32.159173,2024-09-30,mobile,United States,(direct),(none),(direct),Direct,248.13,248.13,4.0,3,2,['Apparel' 'Bags'],1,True,,62.03,21,Monday,60
T0001363,3826819.6450745946.1728604468,3826819.6450745946,2024-10-10 23:50:29.838518,2024-10-10,desktop,United States,google,organic,(organic),Organic Search,247.36,247.36,3.0,3,2,['Accessories' 'Electronics'],1,True,,82.45,23,Thursday,61
T0003477,7863295.2438000139.1732385433,7863295.2438000139,2024-11-23 18:03:15.291787,2024-11-23,mobile,United States,newsletter,email,weekly_drop,Email,246.83,246.83,3.0,3,2,['Accessories' 'Electronics'],1,True,,82.28,18,Saturday,62
T0001292,2142983.7796208427.1728453428,2142983.7796208427,2024-10-09 05:55:52.746646,2024-10-09,desktop,United States,google,organic,(organic),Organic Search,246.22,246.22,3.0,3,2,['Apparel' 'Bags'],1,True,,82.07,5,Wednesday,63
T0000661,1855588.9285060786.1727073536,1855588.9285060786,2024-09-23 06:53:15.881037,2024-09-23,desktop,United States,google,cpc,shopping_feed,Paid,246.13,246.13,3.0,3,2,['Apparel' 'Bags'],1,True,,82.04,6,Monday,64
T0002895,8728430.1423170117.1731345011,8728430.1423170117,2024-11-11 17:10:26.745268,2024-11-11,desktop,Germany,google,organic,(organic),Organic Search,244.89,244.89,4.0,3,1,['Apparel'],1,True,,61.22,17,Monday,65
T0003108,4845667.5771678032.1731753698,4845667.5771678032,2024-11-16 10:43:39.346544,2024-11-16,desktop,Australia,google,organic,(organic),Organic Search,244.0,244.0,3.0,2,2,['Bags' 'Stationery'],1,True,,81.33,10,Saturday,66
T0004120,1589529.5628733086.1732820010,1589529.5628733086,2024-11-28 18:58:53.488501,2024-11-28,tablet,Japan,google,cpc,shopping_feed,Paid,243.0,243.0,3.0,3,2,['Apparel' 'Electronics'],1,True,,81.0,18,Thursday,67
T0002454,7497687.3858515753.1730580597,7497687.3858515753,2024-11-02 21:01:26.130054,2024-11-02,desktop,India,google,cpc,brand_search,Paid,242.87,242.87,4.0,3,2,['Accessories' 'Apparel'],1,True,,60.72,21,Saturday,68
T0002072,2242095.6275626622.1729951135,2242095.6275626622,2024-10-26 13:58:16.617779,2024-10-26,desktop,United States,(direct),(none),(direct),Direct,242.74,242.74,3.0,2,2,['Apparel' 'Bags'],1,True,,80.91,13,Saturday,69
T0000895,3943925.2798970331.1727557172,3943925.2798970331,2024-09-28 20:59:07.591040,2024-09-28,tablet,United Kingdom,(direct),(none),(direct),Direct,241.55,241.55,3.0,2,2,['Apparel' 'Bags'],1,True,,80.52,20,Saturday,70
T0002228,2745775.4884281476.1730207353,2745775.4884281476,2024-10-29 13:13:35.136808,2024-10-29,mobile,Canada,google,organic,(organic),Organic Search,241.15,241.15,3.0,2,2,['Apparel' 'Lifestyle'],1,True,,80.38,13,Tuesday,71
T0002876,1236116.3136109739.1731310417,1236116.3136109739,2024-11-11 07:40:44.658826,2024-11-11,desktop,India,google,organic,(organic),Organic Search,241.11,241.11,3.0,2,2,['Bags' 'Drinkware'],1,True,,80.37,7,Monday,72
T0002947,9589755.9539996665.1731438497,9589755.9539996665,2024-11-12 19:10:50.779498,2024-11-12,desktop,United States,facebook,paid_social,prospecting_broad,Paid,240.1,240.1,4.0,3,2,['Apparel' 'Bags'],2,False,16,60.03,19,Tuesday,73
T0000279,5102900.9981652449.1726171885,5102900.9981652449,2024-09-12 20:12:57.797223,2024-09-12,desktop,United States,newsletter,email,weekly_drop,Email,238.97,238.97,4.0,3,3,['Accessories' 'Drinkware' 'Electronics'],1,True,,59.74,20,Thursday,74
T0002432,7659070.4910958015.1730557638,7659070.4910958015,2024-11-02 14:30:36.787745,2024-11-02,tablet,United States,google,organic,(organic),Organic Search,238.23,238.23,5.0,3,3,['Apparel' 'Lifestyle' 'Office'],1,True,,47.65,14,Saturday,75
T0000694,8379725.7108792700.1727157575,8379725.7108792700,2024-09-24 06:08:29.943425,2024-09-24,desktop,United States,google,cpc,brand_search,Paid,238.22,238.22,3.0,3,3,['Apparel' 'Electronics' 'Office'],1,True,,79.41,6,Tuesday,76
T0000003,6214818.6386978465.1725212617,6214818.6386978465,2024-09-01 17:45:53.688600,2024-09-01,mobile,United States,newsletter,email,weekly_drop,Email,237.07,237.07,5.0,3,3,['Apparel' 'Lifestyle' 'Stationery'],1,True,,47.41,17,Sunday,77
T0002659,1073279.2118745546.1730925045,1073279.2118745546,2024-11-06 20:29:38.627735,2024-11-06,desktop,United States,google,organic,(organic),Organic Search,236.81,236.81,3.0,2,2,['Apparel' 'Bags'],1,True,,78.94,20,Wednesday,78
T0001919,5896369.1380224437.1729669145,5896369.1380224437,2024-10-23 07:45:32.871167,2024-10-23,mobile,Mexico,google,organic,(organic),Organic Search,235.41,235.41,3.0,2,2,['Accessories' 'Electronics'],1,True,,78.47,7,Wednesday,79
T0003697,1777781.4636091372.1732603115,1777781.4636091372,2024-11-26 06:43:50.268027,2024-11-26,desktop,United States,(direct),(none),(direct),Direct,235.0,235.0,2.0,2,2,['Apparel' 'Electronics'],1,True,,117.5,6,Tuesday,80
T0003058,5874132.8295498103.1731671003,5874132.8295498103,2024-11-15 11:43:32.407092,2024-11-15,desktop,Germany,google,cpc,shopping_feed,Paid,234.83,234.83,2.0,2,2,['Electronics' 'Lifestyle'],1,True,,117.42,11,Friday,81
T0002786,2094331.9637368483.1731159197,2094331.9637368483,2024-11-09 13:38:03.009995,2024-11-09,desktop,United States,google,cpc,brand_search,Paid,234.38,234.38,3.0,2,2,['Apparel' 'Lifestyle'],2,False,10,78.13,13,Saturday,82
T0000627,1850009.7078265333.1726994058,1850009.7078265333,2024-09-22 08:37:00.855101,2024-09-22,desktop,United States,google,organic,(organic),Organic Search,234.35,234.35,3.0,3,2,['Apparel' 'Bags'],1,True,,78.12,8,Sunday,83
T0001441,1572986.2666185253.1728770247,1572986.2666185253,2024-10-12 22:00:13.960106,2024-10-12,mobile,United States,google,organic,(organic),Organic Search,231.5,231.5,4.0,3,3,['Apparel' 'Bags' 'Office'],1,True,,57.88,22,Saturday,84
T0002723,4868797.2754499315.1731058099,4868797.2754499315,2024-11-08 09:28:39.263327,2024-11-08,desktop,United States,google,organic,(organic),Organic Search,231.21,231.21,5.0,3,2,['Apparel' 'Bags'],1,True,,46.24,9,Friday,85
T0002834,8881866.4683046926.1731243036,8881866.4683046926,2024-11-10 12:51:21.598384,2024-11-10,mobile,United States,google,organic,(organic),Organic Search,230.42,230.42,2.0,2,2,['Accessories' 'Electronics'],1,True,,115.21,12,Sunday,86
T0001348,4274398.2150732563.1728571965,4274398.2150732563,2024-10-10 14:47:29.789919,2024-10-10,desktop,Australia,google,organic,(organic),Organic Search,230.42,230.42,2.0,2,2,['Accessories' 'Electronics'],1,True,,115.21,14,Thursday,86
T0002153,8306609.1937770071.1730067051,8306609.1937770071,2024-10-27 22:16:04.079418,2024-10-27,desktop,Germany,google,organic,(organic),Organic Search,230.42,230.42,2.0,2,2,['Accessories' 'Electronics'],1,True,,115.21,22,Sunday,86
T0004221,6254170.6456879649.1732872941,6254170.6456879649,2024-11-29 09:33:57.330984,2024-11-29,desktop,United Kingdom,youtube.com,referral,(referral),Referral,230.3,230.3,2.0,1,1,['Bags'],1,True,,115.15,9,Friday,87
T0002076,6388751.6057873478.1729953904,6388751.6057873478,2024-10-26 15:06:35.359057,2024-10-26,desktop,United States,google,cpc,shopping_feed,Paid,230.14,230.14,4.0,3,3,['Apparel' 'Lifestyle' 'Office'],1,True,,57.54,15,Saturday,88
T0000222,3741468.1354181652.1726021539,3741468.1354181652,2024-09-11 02:28:39.899850,2024-09-11,mobile,United Kingdom,google,organic,(organic),Organic Search,230.13,230.13,3.0,3,2,['Accessories' 'Electronics'],1,True,,76.71,2,Wednesday,89
T0003328,9254501.1390658851.1732131851,9254501.1390658851,2024-11-20 19:44:32.381329,2024-11-20,desktop,United States,google,organic,(organic),Organic Search,229.51,229.51,5.0,3,3,['Accessories' 'Electronics' 'Stationery'],1,True,,45.9,19,Wednesday,90
T0002138,7679555.2195601547.1730050136,7679555.2195601547,2024-10-27 17:22:24.322691,2024-10-27,mobile,United States,newsletter,email,weekly_drop,Email,229.31,229.31,3.0,2,2,['Apparel' 'Electronics'],1,True,,76.44,17,Sunday,91
T0003882,3809588.9088902646.1732705824,3809588.9088902646,2024-11-27 11:16:03.968209,2024-11-27,mobile,Canada,google,cpc,shopping_feed,Paid,228.64,228.64,2.0,2,2,['Drinkware' 'Electronics'],1,True,,114.32,11,Wednesday,92
T0001152,9211081.5781137023.1728157916,9211081.5781137023,2024-10-05 19:58:17.295024,2024-10-05,mobile,Australia,(direct),(none),(direct),Direct,228.64,228.64,2.0,2,2,['Drinkware' 'Electronics'],2,False,4,114.32,19,Saturday,92
T0003257,6054535.4066009249.1732026171,6054535.4066009249,2024-11-19 14:19:12.113704,2024-11-19,mobile,United States,(direct),(none),(direct),Direct,228.46,228.46,2.0,1,1,['Electronics'],1,True,,114.23,14,Tuesday,93
T0000500,2745568.6780613670.1726726846,2745568.6780613670,2024-09-19 06:19:31.334908,2024-09-19,desktop,Singapore,partners,affiliate,coupon_partners,Affiliate,228.09,228.09,5.0,3,2,['Accessories' 'Bags'],1,True,,45.62,6,Thursday,94
T0000776,4006155.1125350405.1727307081,4006155.1125350405,2024-09-25 23:38:36.405367,2024-09-25,desktop,United States,google,organic,(organic),Organic Search,227.4,227.4,4.0,3,3,['Apparel' 'Bags' 'Headgear'],1,True,,56.85,23,Wednesday,95
T0002520,3774952.5467849712.1730698527,3774952.5467849712,2024-11-04 05:42:30.805948,2024-11-04,desktop,United States,google,organic,(organic),Organic Search,227.17,227.17,3.0,3,3,['Accessories' 'Apparel' 'Electronics'],1,True,,75.72,5,Monday,96
T0003393,7146542.5957339596.1732253624,7146542.5957339596,2024-11-22 05:30:44.291368,2024-11-22,mobile,India,google,organic,(organic),Organic Search,227.0,227.0,4.0,2,2,['Apparel' 'Lifestyle'],2,False,3,56.75,5,Friday,97
T0001533,6895259.8516329456.1728945303,6895259.8516329456,2024-10-14 22:33:38.336853,2024-10-14,desktop,United States,(direct),(none),(direct),Direct,225.98,225.98,4.0,3,3,['Accessories' 'Apparel' 'Bags'],1,True,,56.5,22,Monday,98
T0003133,1356663.1076584573.1731792906,1356663.1076584573,2024-11-16 21:36:17.278704,2024-11-16,desktop,United States,google,cpc,shopping_feed,Paid,225.2,225.2,2.0,1,1,['Electronics'],1,True,,112.6,21,Saturday,99
T0003881,5149060.8497348246.1732705552,5149060.8497348246,2024-11-27 11:13:33.558172,2024-11-27,desktop,India,google,organic,(organic),Organic Search,225.2,225.2,2.0,1,1,['Electronics'],1,True,,112.6,11,Wednesday,99
T0004164,2384548.2895797834.1732833249,2384548.2895797834,2024-11-28 22:42:32.630347,2024-11-28,tablet,United States,newsletter,email,weekly_drop,Email,225.06,225.06,4.0,3,3,['Apparel' 'Bags' 'Stationery'],1,True,,56.27,22,Thursday,100
T0002884,1065394.2988732258.1731328262,1065394.2988732258,2024-11-11 12:29:06.099150,2024-11-11,mobile,United States,google,organic,(organic),Organic Search,224.74,224.74,4.0,3,2,['Apparel' 'Bags'],1,True,,56.19,12,Monday,101
T0003286,7463380.7622137092.1732053721,7463380.7622137092,2024-11-19 22:03:34.019085,2024-11-19,desktop,Germany,google,cpc,shopping_feed,Paid,224.21,224.21,3.0,3,3,['Apparel' 'Drinkware' 'Electronics'],1,True,,74.74,22,Tuesday,102
T0001784,6818538.8137825480.1729419432,6818538.8137825480,2024-10-20 10:15:18.772703,2024-10-20,mobile,Canada,google,organic,(organic),Organic Search,224.07,224.07,3.0,2,2,['Accessories' 'Bags'],2,False,9,74.69,10,Sunday,103
T0001619,3195267.2231261159.1729115142,3195267.2231261159,2024-10-16 21:47:23.887682,2024-10-16,mobile,United States,facebook,paid_social,prospecting_broad,Paid,223.61,223.61,3.0,2,2,['Apparel' 'Lifestyle'],1,True,,74.54,21,Wednesday,104
