acquisition_week,acquisition_channel,week_index,cohort_users,active_users,purchasing_users,orders,revenue,retention_rate,purchase_rate,revenue_per_cohort_user,weeks_observed
2024-09-23,Direct,3,2150,107,6,6.0,402.55,0.0498,0.0028,0.19,9
2024-10-07,Referral,1,808,143,3,3.0,511.85,0.177,0.0037,0.63,7
2024-11-04,Email,2,542,61,2,2.0,234.56,0.1125,0.0037,0.43,3
2024-09-09,Affiliate,0,278,278,2,3.0,156.27,1.0,0.0072,0.56,11
2024-09-30,Affiliate,3,313,15,0,0.0,0.0,0.0479,0.0,0.0,8
2024-10-21,Organic Search,4,2802,79,9,9.0,535.63,0.0282,0.0032,0.19,5
2024-09-23,Affiliate,4,304,18,0,0.0,0.0,0.0592,0.0,0.0,9
2024-09-30,Paid,2,3552,298,11,11.0,697.5,0.0839,0.0031,0.2,8
2024-10-14,Paid,3,3815,157,2,2.0,159.22,0.0412,0.0005,0.04,6
2024-10-21,Affiliate,1,284,66,3,3.0,191.72,0.2324,0.0106,0.68,5
2024-10-07,Email,2,521,74,3,3.0,242.42,0.142,0.0058,0.47,7
2024-10-14,Paid,6,3815,34,2,2.0,139.3,0.0089,0.0005,0.04,6
2024-09-16,Referral,4,784,14,2,2.0,137.86,0.0179,0.0026,0.18,10
2024-09-23,Paid,8,3501,9,0,0.0,0.0,0.0026,0.0,0.0,9
2024-10-21,Direct,5,2324,51,7,7.0,494.58,0.0219,0.003,0.21,5
2024-10-21,Referral,2,856,70,2,2.0,71.24,0.0818,0.0023,0.08,5
2024-09-23,Paid,7,3501,14,1,1.0,41.12,0.004,0.0003,0.01,9
2024-10-21,Paid,4,3814,97,0,0.0,0.0,0.0254,0.0,0.0,5
2024-11-18,Email,1,544,143,18,19.0,935.92,0.2629,0.0331,1.72,1
2024-08-26,Direct,2,259,42,1,1.0,58.76,0.1622,0.0039,0.23,13
2024-11-04,Paid,3,4076,144,16,16.0,954.02,0.0353,0.0039,0.23,3
2024-09-16,Organic Search,5,2502,33,2,2.0,112.97,0.0132,0.0008,0.05,10
2024-09-02,Email,1,429,111,11,12.0,1025.48,0.2587,0.0256,2.39,12
2024-09-09,Email,2,454,65,1,1.0,27.95,0.1432,0.0022,0.06,11
2024-10-14,Affiliate,5,325,7,0,0.0,0.0,0.0215,0.0,0.0,6
2024-09-16,Affiliate,2,286,30,2,2.0,60.95,0.1049,0.007,0.21,10
2024-09-09,Paid,5,3303,33,2,2.0,65.85,0.01,0.0006,0.02,11
2024-09-23,Direct,6,2150,17,0,0.0,0.0,0.0079,0.0,0.0,9
2024-10-14,Email,5,502,11,1,1.0,3.95,0.0219,0.002,0.01,6
2024-09-09,Organic Search,4,2390,45,0,0.0,0.0,0.0188,0.0,0.0,11
2024-09-02,Organic Search,5,2225,27,1,1.0,231.5,0.0121,0.0004,0.1,12
2024-09-09,Direct,4,2046,79,4,4.0,393.21,0.0386,0.002,0.19,11
2024-11-11,Referral,2,875,53,1,1.0,47.72,0.0606,0.0011,0.05,2
2024-09-23,Organic Search,7,2466,13,0,0.0,0.0,0.0053,0.0,0.0,9
2024-09-02,Referral,3,646,25,0,0.0,0.0,0.0387,0.0,0.0,12
2024-10-28,Affiliate,2,305,27,1,1.0,21.72,0.0885,0.0033,0.07,4
2024-08-26,Organic Search,4,304,12,1,1.0,75.59,0.0395,0.0033,0.25,13
2024-09-30,Email,4,513,20,3,4.0,286.98,0.039,0.0058,0.56,8
2024-09-23,Organic Search,8,2466,8,0,0.0,0.0,0.0032,0.0,0.0,9
2024-09-09,Referral,8,764,2,0,0.0,0.0,0.0026,0.0,0.0,11
2024-09-09,Referral,7,764,3,0,0.0,0.0,0.0039,0.0,0.0,11
2024-08-26,Referral,4,91,5,0,0.0,0.0,0.0549,0.0,0.0,13
2024-09-30,Referral,4,766,15,0,0.0,0.0,0.0196,0.0,0.0,8
2024-09-16,Organic Search,9,2502,4,1,1.0,137.38,0.0016,0.0004,0.05,10
2024-09-02,Affiliate,7,280,4,0,0.0,0.0,0.0143,0.0,0.0,12
2024-09-16,Affiliate,10,286,1,1,1.0,70.68,0.0035,0.0035,0.25,10
2024-09-30,Affiliate,6,313,4,0,0.0,0.0,0.0128,0.0,0.0,8
2024-09-02,Organic Search,9,2225,3,0,0.0,0.0,0.0013,0.0,0.0,12
2024-09-02,Affiliate,8,280,2,0,0.0,0.0,0.0071,0.0,0.0,12
2024-09-09,Paid,9,3303,4,0,0.0,0.0,0.0012,0.0,0.0,11
2024-09-09,Affiliate,11,278,1,0,0.0,0.0,0.0036,0.0,0.0,11
2024-09-02,Direct,11,1990,1,0,0.0,0.0,0.0005,0.0,0.0,12
2024-09-09,Email,10,454,1,0,0.0,0.0,0.0022,0.0,0.0,11
2024-09-02,Referral,6,646,1,0,0.0,0.0,0.0015,0.0,0.0,12
2024-10-07,Organic Search,1,2627,579,22,23.0,1417.61,0.2204,0.0084,0.54,7
2024-09-16,Direct,0,1967,1967,42,42.0,2857.38,1.0,0.0214,1.45,10
2024-09-02,Paid,0,3158,3158,33,33.0,2124.78,1.0,0.0104,0.67,12
2024-11-04,Organic Search,1,2880,590,19,19.0,1196.69,0.2049,0.0066,0.42,3
2024-11-11,Organic Search,1,2942,635,19,19.0,1464.08,0.2158,0.0065,0.5,2
2024-11-11,Direct,0,2499,2499,45,47.0,2845.77,1.0,0.018,1.14,2
2024-10-14,Direct,1,2277,553,23,24.0,1690.22,0.2429,0.0101,0.74,6
2024-11-11,Paid,0,4060,4060,36,37.0,2622.76,1.0,0.0089,0.65,2
2024-10-28,Organic Search,1,2926,619,17,18.0,1196.55,0.2116,0.0058,0.41,4
2024-09-02,Email,0,429,429,12,13.0,1118.66,1.0,0.028,2.61,12
2024-10-07,Referral,0,808,808,5,5.0,409.54,1.0,0.0062,0.51,7
2024-09-02,Direct,1,1990,470,22,22.0,1417.77,0.2362,0.0111,0.71,12
2024-10-07,Direct,6,2244,24,2,2.0,105.08,0.0107,0.0009,0.05,7
2024-09-16,Paid,1,3403,685,24,25.0,1749.56,0.2013,0.0071,0.51,10
2024-09-09,Organic Search,2,2390,214,8,8.0,507.82,0.0895,0.0033,0.21,11
2024-10-14,Organic Search,1,2779,620,18,20.0,1758.2,0.2231,0.0065,0.63,6
2024-09-23,Organic Search,5,2466,37,3,3.0,226.43,0.015,0.0012,0.09,9
2024-11-18,Email,0,544,544,17,17.0,1339.44,1.0,0.0313,2.46,1
2024-09-16,Affiliate,4,286,14,1,1.0,14.44,0.049,0.0035,0.05,10
2024-10-21,Paid,2,3814,295,16,18.0,1519.32,0.0773,0.0042,0.4,5
2024-10-07,Affiliate,1,271,70,3,3.0,92.79,0.2583,0.0111,0.34,7
2024-09-23,Referral,6,808,3,0,0.0,0.0,0.0037,0.0,0.0,9
2024-09-09,Direct,2,2046,229,14,14.0,825.13,0.1119,0.0068,0.4,11
2024-10-21,Email,3,541,31,4,4.0,181.1,0.0573,0.0074,0.33,5
2024-10-07,Direct,3,2244,113,1,1.0,12.3,0.0504,0.0004,0.01,7
2024-10-07,Paid,3,3499,160,2,2.0,86.86,0.0457,0.0006,0.02,7
2024-10-21,Affiliate,0,284,284,3,3.0,82.41,1.0,0.0106,0.29,5
2024-09-30,Paid,4,3552,87,6,7.0,713.4,0.0245,0.0017,0.2,8
2024-10-28,Referral,3,850,39,3,3.0,217.3,0.0459,0.0035,0.26,4
2024-08-26,Organic Search,2,304,41,1,1.0,30.48,0.1349,0.0033,0.1,13
2024-09-16,Email,1,485,115,6,7.0,446.85,0.2371,0.0124,0.92,10
2024-10-21,Organic Search,2,2802,284,14,14.0,875.4,0.1014,0.005,0.31,5
2024-09-09,Affiliate,1,278,71,3,3.0,97.05,0.2554,0.0108,0.35,11
2024-09-30,Direct,3,2145,106,5,5.0,223.39,0.0494,0.0023,0.1,8
2024-09-30,Email,2,513,58,5,6.0,880.08,0.1131,0.0097,1.72,8
2024-09-30,Direct,6,2145,22,3,3.0,231.66,0.0103,0.0014,0.11,8
2024-09-16,Referral,2,784,52,1,1.0,44.49,0.0663,0.0013,0.06,10
2024-09-09,Referral,5,764,9,0,0.0,0.0,0.0118,0.0,0.0,11
2024-11-11,Email,2,592,75,4,4.0,175.85,0.1267,0.0068,0.3,2
2024-09-30,Organic Search,3,2561,106,7,7.0,430.21,0.0414,0.0027,0.17,8
2024-08-26,Referral,2,91,15,0,0.0,0.0,0.1648,0.0,0.0,13
2024-08-26,Paid,3,448,23,3,3.0,178.72,0.0513,0.0067,0.4,13
2024-10-28,Email,1,519,144,12,12.0,637.87,0.2775,0.0231,1.23,4
2024-09-02,Organic Search,8,2225,8,1,1.0,52.99,0.0036,0.0004,0.02,12
2024-09-23,Affiliate,2,304,36,1,1.0,28.09,0.1184,0.0033,0.09,9
2024-10-07,Paid,6,3499,28,2,2.0,185.4,0.008,0.0006,0.05,7
2024-09-23,Paid,5,3501,46,3,3.0,160.69,0.0131,0.0009,0.05,9
2024-09-09,Paid,8,3303,12,2,2.0,142.5,0.0036,0.0006,0.04,11
2024-09-02,Affiliate,5,280,7,0,0.0,0.0,0.025,0.0,0.0,12
2024-10-21,Referral,4,856,18,1,1.0,71.23,0.021,0.0012,0.08,5
2024-08-26,Direct,4,259,9,2,2.0,147.06,0.0347,0.0077,0.57,13
2024-08-26,Paid,12,448,1,0,0.0,0.0,0.0022,0.0,0.0,13
2024-09-23,Referral,3,808,20,0,0.0,0.0,0.0248,0.0,0.0,9
2024-09-09,Paid,7,3303,10,0,0.0,0.0,0.003,0.0,0.0,11
2024-09-30,Referral,2,766,58,2,2.0,62.55,0.0757,0.0026,0.08,8
2024-09-30,Organic Search,6,2561,19,3,3.0,89.22,0.0074,0.0012,0.03,8
2024-09-09,Direct,10,2046,7,1,1.0,44.63,0.0034,0.0005,0.02,11
2024-09-23,Email,3,480,28,1,1.0,15.17,0.0583,0.0021,0.03,9
2024-09-16,Organic Search,7,2502,13,2,3.0,225.25,0.0052,0.0008,0.09,10
2024-09-09,Email,4,454,20,0,0.0,0.0,0.0441,0.0,0.0,11
2024-09-23,Email,6,480,8,2,2.0,93.33,0.0167,0.0042,0.19,9
2024-10-28,Affiliate,4,305,9,2,2.0,68.42,0.0295,0.0066,0.22,4
2024-09-02,Paid,11,3158,4,1,1.0,202.24,0.0013,0.0003,0.06,12
2024-09-23,Paid,9,3501,5,0,0.0,0.0,0.0014,0.0,0.0,9
2024-10-07,Email,4,521,16,0,0.0,0.0,0.0307,0.0,0.0,7
2024-09-02,Organic Search,7,2225,7,0,0.0,0.0,0.0031,0.0,0.0,12
2024-09-16,Organic Search,8,2502,8,0,0.0,0.0,0.0032,0.0,0.0,10
2024-08-26,Paid,6,448,4,0,0.0,0.0,0.0089,0.0,0.0,13
2024-08-26,Organic Search,10,304,2,0,0.0,0.0,0.0066,0.0,0.0,13
2024-09-09,Organic Search,10,2390,2,0,0.0,0.0,0.0008,0.0,0.0,11
2024-09-23,Organic Search,9,2466,3,0,0.0,0.0,0.0012,0.0,0.0,9
2024-08-26,Email,3,63,2,0,0.0,0.0,0.0317,0.0,0.0,13
2024-08-26,Affiliate,2,41,5,0,0.0,0.0,0.122,0.0,0.0,13
2024-09-30,Direct,0,2145,2145,42,42.0,3081.07,1.0,0.0196,1.44,8
2024-11-18,Organic Search,0,3062,3062,33,35.0,2612.13,1.0,0.0108,0.85,1
2024-10-07,Paid,0,3499,3499,42,43.0,2333.21,1.0,0.012,0.67,7
2024-10-14,Email,2,502,73,4,4.0,280.27,0.1454,0.008,0.56,6
2024-10-21,Email,0,541,541,17,17.0,1386.57,1.0,0.0314,2.56,5
2024-09-23,Email,0,480,480,12,12.0,910.34,1.0,0.025,1.9,9
2024-10-07,Direct,0,2244,2244,33,33.0,2325.63,1.0,0.0147,1.04,7
2024-11-18,Direct,0,2551,2551,39,39.0,2464.98,1.0,0.0153,0.97,1
2024-09-23,Direct,1,2150,477,16,16.0,1198.04,0.2219,0.0074,0.56,9
2024-09-23,Organic Search,4,2466,55,3,3.0,267.38,0.0223,0.0012,0.11,9
2024-09-09,Paid,2,3303,293,13,13.0,838.12,0.0887,0.0039,0.25,11
2024-10-28,Paid,2,3892,305,7,7.0,680.9,0.0784,0.0018,0.17,4
2024-09-30,Organic Search,0,2561,2561,35,35.0,2405.98,1.0,0.0137,0.94,8
2024-10-28,Referral,0,850,850,5,5.0,338.54,1.0,0.0059,0.4,4
2024-09-23,Referral,0,808,808,3,3.0,145.19,1.0,0.0037,0.18,9
2024-10-28,Direct,2,2410,277,15,15.0,1007.14,0.1149,0.0062,0.42,4
2024-10-07,Referral,3,808,23,0,0.0,0.0,0.0285,0.0,0.0,7
2024-10-14,Paid,1,3815,775,23,25.0,2104.37,0.2031,0.006,0.55,6
2024-09-02,Referral,1,646,118,2,2.0,232.03,0.1827,0.0031,0.36,12
2024-10-21,Direct,2,2324,251,10,10.0,706.92,0.108,0.0043,0.3,5
2024-11-04,Paid,1,4076,770,27,27.0,2143.0,0.1889,0.0066,0.53,3
2024-09-16,Direct,6,1967,18,1,1.0,26.31,0.0092,0.0005,0.01,10
2024-09-30,Paid,5,3552,40,4,4.0,205.81,0.0113,0.0011,0.06,8
2024-09-02,Organic Search,2,2225,199,7,7.0,615.22,0.0894,0.0031,0.28,12
2024-08-26,Paid,0,448,448,1,1.0,15.53,1.0,0.0022,0.03,13
2024-09-02,Paid,3,3158,120,9,10.0,640.88,0.038,0.0028,0.2,12
2024-09-02,Affiliate,4,280,12,0,0.0,0.0,0.0429,0.0,0.0,12
2024-09-30,Affiliate,1,313,73,2,2.0,181.78,0.2332,0.0064,0.58,8
