session_date,device_category,channel_group,country,user_type,sessions,viewed_product,added_to_cart,began_checkout,added_shipping,added_payment,purchased,revenue
2024-11-23,mobile,Direct,Canada,New,13,5,0,0,0,0,0,0.0
2024-11-24,desktop,Paid,United States,New,86,43,7,4,2,1,1,56.18
2024-11-24,desktop,Paid,Netherlands,Returning,9,8,1,0,0,0,0,0.0
2024-11-25,desktop,Organic Search,India,Returning,23,20,1,0,0,0,0,0.0
2024-11-25,tablet,Organic Search,Japan,New,5,2,0,0,0,0,0,0.0
2024-11-25,mobile,Direct,Singapore,New,17,11,1,0,0,0,0,0.0
2024-11-25,mobile,Paid,Mexico,New,26,16,3,0,0,0,0,0.0
2024-11-25,mobile,Email,Mexico,New,1,1,0,0,0,0,0,0.0
2024-11-25,desktop,Paid,Canada,New,66,38,7,3,3,2,2,268.76
2024-11-26,desktop,Paid,United States,Returning,65,52,21,13,11,9,8,649.31
2024-11-26,mobile,Organic Search,United States,Returning,71,55,9,5,3,3,2,131.52
2024-11-26,mobile,Paid,Singapore,New,13,5,1,0,0,0,0,0.0
2024-11-26,mobile,Organic Search,United Kingdom,New,44,28,5,2,1,1,0,0.0
2024-10-04,mobile,Referral,United States,New,18,9,0,0,0,0,0,0.0
2024-10-04,mobile,Direct,United States,New,62,38,5,1,0,0,0,0.0
2024-10-04,mobile,Direct,Japan,New,8,3,0,0,0,0,0,0.0
2024-10-05,mobile,Direct,Australia,New,5,4,0,0,0,0,0,0.0
2024-10-06,mobile,Paid,United States,New,94,42,4,1,1,1,1,93.33
2024-10-05,tablet,Organic Search,Singapore,Returning,1,0,0,0,0,0,0,0.0
2024-10-06,mobile,Organic Search,Australia,New,9,4,1,1,0,0,0,0.0
2024-10-06,desktop,Direct,Canada,Returning,7,6,1,0,0,0,0,0.0
2024-10-06,desktop,Paid,Germany,New,8,3,1,1,1,1,0,0.0
2024-10-07,mobile,Referral,United States,New,22,13,0,0,0,0,0,0.0
2024-10-07,desktop,Email,United States,Returning,8,6,1,1,0,0,0,0.0
2024-10-07,mobile,Direct,Japan,New,12,11,4,0,0,0,0,0.0
2024-10-07,mobile,Organic Search,Brazil,Returning,3,1,1,0,0,0,0,0.0
2024-10-07,mobile,Direct,United Kingdom,New,12,8,2,1,0,0,0,0.0
2024-10-08,desktop,Paid,United States,New,67,42,7,3,2,1,1,19.77
2024-10-08,desktop,Organic Search,Japan,New,11,7,1,0,0,0,0,0.0
2024-10-08,desktop,Paid,Brazil,Returning,6,5,1,0,0,0,0,0.0
2024-10-08,mobile,Direct,India,Returning,12,9,1,0,0,0,0,0.0
2024-10-09,desktop,Organic Search,United States,Returning,39,30,5,4,4,4,2,306.95
2024-10-09,mobile,Email,Mexico,Returning,3,3,1,1,1,1,1,83.05
2024-10-09,mobile,Direct,India,New,29,18,2,0,0,0,0,0.0
2024-10-09,tablet,Direct,United Kingdom,Returning,1,1,0,0,0,0,0,0.0
2024-11-04,mobile,Organic Search,Netherlands,New,3,1,0,0,0,0,0,0.0
2024-11-04,mobile,Paid,Mexico,New,14,7,0,0,0,0,0,0.0
2024-11-04,mobile,Direct,Australia,New,4,4,1,0,0,0,0,0.0
2024-11-06,desktop,Paid,United States,New,114,75,8,4,4,4,4,244.23
2024-11-06,desktop,Affiliate,United States,New,6,4,2,0,0,0,0,0.0
2024-11-07,mobile,Email,United States,New,11,7,1,1,1,1,0,0.0
2024-11-07,desktop,Organic Search,United Kingdom,Returning,10,7,3,2,2,1,1,63.43
2024-11-07,mobile,Organic Search,Canada,Returning,14,11,2,1,1,1,1,28.09
2024-11-08,desktop,Organic Search,Brazil,New,11,5,1,0,0,0,0,0.0
2024-11-08,mobile,Organic Search,Japan,Returning,7,5,3,0,0,0,0,0.0
2024-11-08,desktop,Paid,United Kingdom,New,16,9,2,0,0,0,0,0.0
2024-11-08,desktop,Affiliate,Germany,Returning,1,1,0,0,0,0,0,0.0
2024-11-08,desktop,Direct,United States,Returning,42,35,4,1,1,1,1,28.09
2024-11-09,mobile,Paid,United States,New,99,55,7,2,2,2,2,141.92
2024-09-17,mobile,Direct,United States,New,59,43,3,2,1,1,0,0.0
2024-09-17,tablet,Email,United States,New,2,2,0,0,0,0,0,0.0
2024-09-17,desktop,Paid,Netherlands,New,4,4,0,0,0,0,0,0.0
2024-09-18,mobile,Paid,Singapore,Returning,3,2,0,0,0,0,0,0.0
2024-09-18,mobile,Organic Search,United States,Returning,49,39,8,3,1,1,1,29.0
2024-09-19,mobile,Paid,Brazil,Returning,8,7,1,0,0,0,0,0.0
2024-09-19,mobile,Direct,Canada,Returning,9,6,1,0,0,0,0,0.0
2024-09-19,desktop,Organic Search,India,Returning,9,8,1,0,0,0,0,0.0
2024-09-19,desktop,Direct,United States,Returning,25,17,4,3,3,3,3,155.62
2024-09-19,tablet,Direct,Japan,Returning,3,1,0,0,0,0,0,0.0
2024-09-20,desktop,Paid,India,New,21,7,1,0,0,0,0,0.0
2024-09-20,tablet,Referral,Netherlands,New,3,2,1,1,1,0,0,0.0
2024-09-21,mobile,Paid,Canada,New,17,11,1,0,0,0,0,0.0
2024-09-21,mobile,Organic Search,Singapore,New,2,0,0,0,0,0,0,0.0
2024-09-22,mobile,Direct,United States,New,44,23,4,1,1,1,1,27.95
2024-09-22,tablet,Direct,Japan,Returning,1,1,0,0,0,0,0,0.0
2024-09-22,desktop,Referral,India,Returning,5,3,0,0,0,0,0,0.0
2024-10-21,mobile,Paid,United Kingdom,Returning,16,10,4,3,3,3,3,57.65
2024-10-21,mobile,Paid,France,New,14,9,2,0,0,0,0,0.0
2024-10-21,tablet,Paid,United States,Returning,5,3,0,0,0,0,0,0.0
2024-10-21,mobile,Paid,Germany,New,21,11,2,2,2,2,1,165.97
2024-10-21,desktop,Paid,Singapore,Returning,4,3,0,0,0,0,0,0.0
2024-10-22,mobile,Paid,United States,Returning,66,42,8,4,3,3,3,193.98
2024-10-22,desktop,Referral,United States,Returning,6,4,2,1,1,1,1,39.54
2024-10-22,mobile,Referral,India,Returning,4,1,1,1,0,0,0,0.0
2024-10-23,desktop,Paid,India,Returning,18,13,0,0,0,0,0,0.0
2024-10-23,desktop,Direct,United States,Returning,36,31,5,4,4,4,4,210.8
2024-10-23,mobile,Direct,India,New,29,18,0,0,0,0,0,0.0
2024-10-23,mobile,Affiliate,Mexico,Returning,1,1,0,0,0,0,0,0.0
2024-10-23,desktop,Email,United States,New,13,10,3,3,3,2,2,105.39
2024-10-24,mobile,Organic Search,Germany,New,17,13,1,0,0,0,0,0.0
2024-10-24,mobile,Organic Search,United Kingdom,New,16,11,1,1,1,1,1,28.88
2024-10-24,mobile,Direct,Mexico,New,5,1,0,0,0,0,0,0.0
2024-10-24,desktop,Email,India,New,8,7,3,2,1,1,1,81.73
2024-10-25,mobile,Direct,India,New,21,14,1,0,0,0,0,0.0
2024-10-25,mobile,Paid,United States,New,114,67,7,4,4,4,3,62.28
2024-10-25,mobile,Direct,Australia,Returning,7,5,1,0,0,0,0,0.0
2024-11-26,mobile,Direct,United Kingdom,Returning,11,9,4,3,3,2,1,146.31
2024-11-27,desktop,Paid,Germany,New,48,29,9,3,3,3,3,129.53
2024-11-27,mobile,Affiliate,United States,Returning,12,8,3,0,0,0,0,0.0
2024-11-27,mobile,Paid,Canada,New,53,25,4,3,2,1,1,228.64
2024-11-27,tablet,Paid,Brazil,New,6,4,1,0,0,0,0,0.0
2024-11-27,mobile,Paid,Germany,Returning,11,7,1,0,0,0,0,0.0
2024-11-27,mobile,Organic Search,United Kingdom,Returning,18,12,3,2,2,1,1,57.76
2024-11-27,tablet,Referral,United States,Returning,3,2,2,0,0,0,0,0.0
2024-11-27,mobile,Paid,Mexico,Returning,5,4,0,0,0,0,0,0.0
2024-11-28,mobile,Referral,United States,New,59,32,1,0,0,0,0,0.0
2024-11-28,mobile,Organic Search,United States,New,220,137,24,9,7,6,5,368.86
2024-11-28,desktop,Email,United States,New,19,14,2,0,0,0,0,0.0
2024-11-28,desktop,Organic Search,France,New,27,17,2,2,2,1,1,18.62
2024-10-23,mobile,Organic Search,India,Returning,17,12,1,0,0,0,0,0.0
2024-09-09,mobile,Organic Search,United States,New,68,46,6,1,1,1,1,71.98
2024-09-09,mobile,Direct,Australia,New,13,7,1,0,0,0,0,0.0
2024-09-10,mobile,Organic Search,United Kingdom,New,15,10,1,1,1,1,1,94.75
2024-09-10,desktop,Organic Search,Brazil,New,11,7,1,1,1,0,0,0.0
2024-09-10,mobile,Affiliate,Germany,New,2,2,0,0,0,0,0,0.0
2024-09-11,mobile,Direct,India,Returning,9,6,1,1,1,1,1,41.72
2024-09-11,tablet,Paid,India,Returning,1,0,0,0,0,0,0,0.0
2024-09-11,desktop,Direct,United States,Returning,16,15,7,2,1,1,0,0.0
2024-09-11,desktop,Paid,Japan,New,8,2,0,0,0,0,0,0.0
2024-09-13,desktop,Organic Search,Canada,Returning,8,4,2,0,0,0,0,0.0
2024-09-14,mobile,Organic Search,Mexico,Returning,2,2,0,0,0,0,0,0.0
2024-09-14,tablet,Paid,Mexico,Returning,1,0,0,0,0,0,0,0.0
2024-09-15,desktop,Paid,United Kingdom,Returning,11,6,0,0,0,0,0,0.0
2024-09-15,mobile,Organic Search,India,Returning,15,12,1,1,1,1,1,127.83
2024-09-15,desktop,Direct,Germany,Returning,3,3,1,0,0,0,0,0.0
2024-09-15,mobile,Paid,Netherlands,New,8,5,2,1,0,0,0,0.0
2024-09-16,mobile,Direct,Japan,Returning,6,5,2,1,1,1,1,64.58
2024-11-09,desktop,Referral,United Kingdom,Returning,1,1,0,0,0,0,0,0.0
2024-11-09,desktop,Direct,United States,Returning,45,40,11,5,5,5,4,221.36
2024-11-10,mobile,Paid,United States,New,85,54,6,3,2,2,2,63.31
2024-11-10,desktop,Organic Search,Netherlands,New,9,4,1,0,0,0,0,0.0
2024-11-10,mobile,Direct,United States,New,66,37,6,1,1,1,0,0.0
2024-11-10,mobile,Organic Search,United Kingdom,Returning,12,11,0,0,0,0,0,0.0
2024-11-11,desktop,Organic Search,Brazil,New,15,7,0,0,0,0,0,0.0
2024-11-11,mobile,Referral,France,New,6,1,0,0,0,0,0,0.0
2024-11-11,mobile,Paid,Australia,New,14,4,0,0,0,0,0,0.0
2024-11-12,desktop,Referral,United States,New,26,14,2,1,1,1,1,53.99
2024-11-12,mobile,Paid,Japan,New,16,7,0,0,0,0,0,0.0
2024-11-12,desktop,Affiliate,Germany,Returning,1,1,1,0,0,0,0,0.0
2024-11-12,mobile,Paid,India,Returning,25,16,3,0,0,0,0,0.0
2024-11-12,mobile,Organic Search,United Kingdom,Returning,9,7,1,1,1,1,0,0.0
2024-11-12,mobile,Organic Search,Japan,New,7,4,0,0,0,0,0,0.0
2024-11-13,desktop,Organic Search,France,New,9,5,0,0,0,0,0,0.0
2024-11-13,mobile,Paid,United States,New,91,48,4,0,0,0,0,0.0
2024-11-13,desktop,Paid,United States,Returning,41,30,3,1,1,1,1,16.54
2024-11-13,desktop,Direct,United Kingdom,Returning,9,4,1,1,1,1,1,57.36
2024-11-14,mobile,Direct,United States,New,80,52,6,3,3,3,3,145.34
2024-11-14,tablet,Direct,Netherlands,Returning,2,2,1,0,0,0,0,0.0
2024-09-22,mobile,Organic Search,Brazil,New,9,7,0,0,0,0,0,0.0
2024-09-23,mobile,Organic Search,India,Returning,5,4,1,0,0,0,0,0.0
2024-09-24,mobile,Direct,United States,Returning,41,33,9,1,1,1,1,19.77
2024-09-24,tablet,Organic Search,Netherlands,New,2,1,0,0,0,0,0,0.0
2024-09-24,desktop,Paid,India,New,29,16,1,0,0,0,0,0.0
2024-09-25,mobile,Organic Search,India,New,39,20,1,0,0,0,0,0.0
2024-09-25,mobile,Paid,Brazil,Returning,9,6,0,0,0,0,0,0.0
2024-09-25,tablet,Email,Netherlands,New,1,0,0,0,0,0,0,0.0
2024-09-25,mobile,Paid,Netherlands,Returning,9,5,0,0,0,0,0,0.0
2024-09-26,desktop,Organic Search,United States,New,61,42,4,2,2,2,0,0.0
2024-09-25,mobile,Direct,Netherlands,New,4,3,0,0,0,0,0,0.0
2024-09-26,desktop,Organic Search,Canada,New,10,7,1,0,0,0,0,0.0
2024-09-26,desktop,Direct,Singapore,New,4,2,0,0,0,0,0,0.0
2024-09-26,mobile,Direct,United States,New,59,41,5,1,0,0,0,0.0
2024-09-26,mobile,Organic Search,Germany,Returning,8,8,2,0,0,0,0,0.0
2024-09-26,desktop,Direct,Canada,New,11,8,1,1,1,1,0,0.0
2024-09-26,mobile,Organic Search,United States,New,61,43,4,1,1,0,0,0.0
2024-09-27,desktop,Organic Search,Germany,New,9,8,2,1,1,1,1,14.44
2024-09-27,mobile,Referral,United States,New,26,14,1,0,0,0,0,0.0
2024-09-28,mobile,Email,United States,New,13,9,0,0,0,0,0,0.0
2024-10-25,desktop,Organic Search,Netherlands,New,9,7,0,0,0,0,0,0.0
2024-10-26,desktop,Email,United States,New,10,8,0,0,0,0,0,0.0
2024-10-27,mobile,Organic Search,United States,Returning,43,29,10,3,3,3,3,176.21
2024-10-27,mobile,Paid,United Kingdom,New,27,17,3,1,1,1,1,49.43
2024-10-27,desktop,Paid,Canada,New,13,3,0,0,0,0,0,0.0
2024-10-27,mobile,Email,India,Returning,5,3,0,0,0,0,0,0.0
2024-10-28,desktop,Affiliate,United States,Returning,7,7,2,0,0,0,0,0.0
2024-10-28,desktop,Paid,Australia,New,9,6,2,0,0,0,0,0.0
2024-10-28,mobile,Direct,Japan,Returning,8,5,0,0,0,0,0,0.0
2024-10-28,desktop,Paid,Singapore,Returning,5,4,0,0,0,0,0,0.0
2024-10-29,desktop,Paid,Germany,New,17,11,0,0,0,0,0,0.0
2024-10-29,desktop,Organic Search,United States,Returning,37,28,7,3,1,1,1,28.09
2024-10-29,tablet,Direct,Brazil,New,1,1,0,0,0,0,0,0.0
2024-10-29,mobile,Email,Brazil,New,3,2,0,0,0,0,0,0.0
2024-10-29,desktop,Organic Search,Japan,Returning,5,4,0,0,0,0,0,0.0
2024-10-29,mobile,Organic Search,Singapore,Returning,3,3,0,0,0,0,0,0.0
2024-10-29,desktop,Paid,Japan,Returning,10,7,0,0,0,0,0,0.0
2024-10-29,mobile,Organic Search,Germany,Returning,9,6,2,0,0,0,0,0.0
2024-10-30,mobile,Paid,United States,New,109,58,7,5,3,3,1,87.08
2024-11-28,tablet,Paid,Brazil,New,8,1,0,0,0,0,0,0.0
2024-11-29,mobile,Paid,United States,New,294,171,20,8,6,6,5,316.36
2024-11-29,mobile,Organic Search,United States,New,228,148,17,12,11,8,6,430.54
2024-11-29,mobile,Direct,Netherlands,New,18,12,1,1,1,1,1,16.54
2024-11-29,desktop,Organic Search,Canada,New,35,18,4,0,0,0,0,0.0
2024-11-29,mobile,Direct,Germany,New,28,20,4,3,2,2,2,90.29
2024-11-29,tablet,Direct,Canada,Returning,1,1,1,1,1,1,1,43.54
2024-11-29,mobile,Email,United Kingdom,New,9,6,2,1,1,1,0,0.0
2024-11-29,tablet,Referral,India,Returning,2,2,0,0,0,0,0,0.0
2024-11-29,tablet,Affiliate,Australia,New,1,0,0,0,0,0,0,0.0
2024-11-29,mobile,Organic Search,Australia,Returning,8,7,0,0,0,0,0,0.0
2024-11-29,desktop,Organic Search,Australia,New,22,15,3,0,0,0,0,0.0
2024-11-29,desktop,Direct,India,New,60,45,7,4,3,3,3,268.14
2024-11-29,desktop,Direct,Mexico,New,23,16,1,1,1,0,0,0.0
2024-11-29,desktop,Email,Canada,New,10,9,2,2,1,1,1,339.62
2024-11-29,mobile,Referral,Germany,New,13,7,0,0,0,0,0,0.0
2024-11-30,desktop,Referral,France,New,8,6,0,0,0,0,0,0.0
2024-11-30,mobile,Organic Search,India,Returning,30,20,4,0,0,0,0,0.0
2024-11-30,mobile,Paid,United Kingdom,New,53,32,7,2,2,2,2,80.89
2024-11-30,desktop,Affiliate,United Kingdom,New,4,2,0,0,0,0,0,0.0
2024-11-30,tablet,Referral,United States,New,14,7,1,0,0,0,0,0.0
2024-11-30,mobile,Referral,India,Returning,7,5,0,0,0,0,0,0.0
2024-11-30,mobile,Referral,Singapore,New,9,6,0,0,0,0,0,0.0
2024-11-30,desktop,Organic Search,India,Returning,27,19,5,1,1,0,0,0.0
2024-11-30,mobile,Organic Search,United States,New,169,105,15,4,2,1,0,0.0
2024-11-30,desktop,Paid,United Kingdom,New,45,28,5,3,3,3,2,51.01
2024-11-30,desktop,Paid,India,Returning,39,33,5,2,2,1,1,14.44
2024-11-30,mobile,Referral,United States,New,48,28,1,0,0,0,0,0.0
2024-11-30,tablet,Paid,Canada,New,15,12,1,1,0,0,0,0.0
2024-09-01,desktop,Direct,United States,New,36,28,6,3,3,3,3,116.61
2024-09-01,desktop,Organic Search,Mexico,New,3,1,0,0,0,0,0,0.0
2024-09-03,mobile,Email,United States,New,9,9,3,0,0,0,0,0.0
2024-09-04,mobile,Direct,United States,New,65,41,8,1,1,1,1,81.69
2024-09-04,desktop,Referral,India,Returning,1,1,0,0,0,0,0,0.0
2024-09-05,mobile,Paid,Mexico,New,9,3,0,0,0,0,0,0.0
2024-09-05,desktop,Referral,United States,New,17,13,1,0,0,0,0,0.0
2024-09-05,mobile,Direct,Canada,New,11,4,0,0,0,0,0,0.0
2024-09-06,desktop,Direct,United States,New,43,29,5,2,2,2,2,240.16
2024-09-06,mobile,Organic Search,Singapore,New,6,3,0,0,0,0,0,0.0
2024-09-07,mobile,Organic Search,United Kingdom,New,15,10,1,0,0,0,0,0.0
2024-09-07,desktop,Organic Search,Brazil,New,9,7,1,0,0,0,0,0.0
2024-09-07,mobile,Direct,Netherlands,New,4,3,0,0,0,0,0,0.0
2024-09-08,desktop,Referral,Germany,New,1,1,1,0,0,0,0,0.0
2024-09-08,mobile,Organic Search,United States,Returning,17,14,1,0,0,0,0,0.0
2024-09-09,desktop,Organic Search,Germany,New,18,8,1,0,0,0,0,0.0
2024-09-09,mobile,Referral,Canada,New,7,3,0,0,0,0,0,0.0
2024-09-09,desktop,Paid,Canada,New,8,7,1,0,0,0,0,0.0
2024-10-31,mobile,Paid,India,Returning,31,21,1,0,0,0,0,0.0
2024-10-31,mobile,Organic Search,United Kingdom,New,19,8,0,0,0,0,0,0.0
2024-10-31,desktop,Affiliate,United States,Returning,10,9,2,2,2,2,1,6.48
2024-11-01,mobile,Email,Singapore,Returning,1,0,0,0,0,0,0,0.0
2024-11-01,mobile,Organic Search,Mexico,Returning,3,3,0,0,0,0,0,0.0
2024-11-03,desktop,Affiliate,India,New,3,2,0,0,0,0,0,0.0
2024-11-03,desktop,Paid,Japan,New,11,8,0,0,0,0,0,0.0
2024-11-03,mobile,Direct,United States,Returning,46,36,6,2,2,2,2,43.26
2024-11-04,desktop,Email,United States,New,15,12,3,1,1,0,0,0.0
2024-11-30,desktop,Affiliate,Mexico,New,2,1,0,0,0,0,0,0.0
2024-11-30,desktop,Affiliate,United States,New,14,12,3,1,1,0,0,0.0
2024-11-30,desktop,Paid,Brazil,New,38,20,2,1,0,0,0,0.0
2024-11-30,mobile,Direct,France,New,11,7,2,0,0,0,0,0.0
2024-09-29,mobile,Paid,Australia,New,8,7,2,0,0,0,0,0.0
2024-09-29,mobile,Paid,United States,New,82,34,2,2,2,2,2,186.98
2024-09-29,desktop,Organic Search,Japan,New,3,3,0,0,0,0,0,0.0
2024-09-29,desktop,Email,Australia,Returning,2,2,0,0,0,0,0,0.0
2024-09-29,desktop,Organic Search,Canada,Returning,7,5,0,0,0,0,0,0.0
2024-09-29,desktop,Direct,United States,Returning,25,21,5,1,1,1,0,0.0
2024-09-30,desktop,Direct,United Kingdom,Returning,4,3,2,1,1,1,1,28.09
2024-09-30,mobile,Organic Search,Japan,New,9,9,1,0,0,0,0,0.0
2024-10-01,mobile,Affiliate,United States,Returning,12,8,1,0,0,0,0,0.0
2024-10-01,mobile,Referral,India,Returning,1,0,0,0,0,0,0,0.0
2024-10-01,mobile,Paid,Singapore,New,10,8,0,0,0,0,0,0.0
2024-10-02,mobile,Affiliate,United States,New,12,6,2,2,1,1,1,25.31
2024-10-02,mobile,Paid,India,Returning,27,16,1,0,0,0,0,0.0
2024-10-03,desktop,Organic Search,India,New,28,15,1,0,0,0,0,0.0
2024-11-14,tablet,Direct,India,New,5,4,0,0,0,0,0,0.0
2024-11-15,desktop,Organic Search,Australia,Returning,6,6,0,0,0,0,0,0.0
2024-11-15,desktop,Affiliate,United Kingdom,New,2,1,0,0,0,0,0,0.0
2024-11-15,desktop,Organic Search,Mexico,New,13,6,2,2,2,2,1,43.54
2024-11-15,desktop,Referral,Mexico,New,1,1,0,0,0,0,0,0.0
2024-11-15,mobile,Direct,Germany,New,14,5,0,0,0,0,0,0.0
2024-11-16,mobile,Direct,Germany,New,9,7,0,0,0,0,0,0.0
2024-11-16,desktop,Organic Search,India,New,33,16,2,1,1,1,1,18.58
2024-11-16,mobile,Organic Search,Mexico,Returning,5,2,0,0,0,0,0,0.0
2024-11-16,desktop,Organic Search,United States,New,66,47,5,1,1,1,0,0.0
2024-11-16,mobile,Paid,France,Returning,6,3,0,0,0,0,0,0.0
2024-11-17,desktop,Direct,United States,Returning,52,40,12,8,8,7,7,465.21
2024-11-17,mobile,Referral,India,Returning,6,5,2,1,1,0,0,0.0
2024-11-17,desktop,Organic Search,India,Returning,18,12,2,1,1,1,1,29.41
2024-11-18,desktop,Paid,United States,Returning,55,38,7,3,1,1,1,192.56
2024-11-18,desktop,Paid,Canada,Returning,10,7,1,0,0,0,0,0.0
2024-11-18,mobile,Referral,Mexico,Returning,2,1,0,0,0,0,0,0.0
2024-11-18,desktop,Organic Search,Germany,Returning,8,6,0,0,0,0,0,0.0
2024-11-18,desktop,Organic Search,India,New,22,12,1,0,0,0,0,0.0
2024-11-18,desktop,Referral,United States,New,17,8,1,0,0,0,0,0.0
2024-11-18,mobile,Organic Search,Australia,New,11,3,1,0,0,0,0,0.0
2024-11-18,mobile,Direct,Australia,Returning,5,3,1,0,0,0,0,0.0
2024-11-18,mobile,Paid,Singapore,New,13,7,0,0,0,0,0,0.0
2024-10-09,mobile,Organic Search,Netherlands,New,10,6,0,0,0,0,0,0.0
2024-10-09,tablet,Paid,India,Returning,3,0,0,0,0,0,0,0.0
2024-10-10,desktop,Referral,United Kingdom,New,5,4,0,0,0,0,0,0.0
2024-10-10,mobile,Paid,Canada,Returning,12,8,0,0,0,0,0,0.0
2024-10-10,tablet,Paid,Brazil,New,1,1,0,0,0,0,0,0.0
2024-10-11,desktop,Organic Search,United Kingdom,New,20,7,1,1,1,1,1,28.09
2024-10-11,desktop,Affiliate,United States,New,9,6,2,0,0,0,0,0.0
2024-10-11,mobile,Organic Search,Singapore,Returning,1,1,0,0,0,0,0,0.0
2024-10-12,desktop,Paid,Germany,Returning,14,9,1,1,1,0,0,0.0
2024-10-12,desktop,Organic Search,Germany,Returning,7,6,1,1,0,0,0,0.0
2024-10-13,desktop,Email,United States,New,7,6,1,0,0,0,0,0.0
2024-10-13,mobile,Paid,India,New,31,14,1,0,0,0,0,0.0
2024-10-13,mobile,Referral,Mexico,New,2,2,1,0,0,0,0,0.0
2024-10-14,mobile,Paid,Mexico,Returning,5,2,1,1,1,1,1,43.54
2024-10-14,mobile,Direct,Germany,New,7,3,1,1,0,0,0,0.0
2024-10-15,desktop,Organic Search,Brazil,Returning,2,2,0,0,0,0,0,0.0
2024-10-15,desktop,Email,Brazil,New,3,3,0,0,0,0,0,0.0
2024-11-19,mobile,Direct,United States,Returning,56,43,10,3,3,3,2,304.56
2024-11-20,mobile,Paid,India,Returning,24,13,1,0,0,0,0,0.0
2024-11-20,desktop,Organic Search,Germany,New,10,7,1,1,1,1,1,56.12
2024-11-20,mobile,Paid,Australia,Returning,6,6,1,1,1,1,1,111.38
2024-11-20,mobile,Email,United Kingdom,New,3,2,0,0,0,0,0,0.0
2024-11-21,tablet,Paid,India,Returning,7,4,0,0,0,0,0,0.0
2024-11-21,desktop,Organic Search,Brazil,New,13,10,1,0,0,0,0,0.0
