product_id,product_name,product_category,avg_price,sessions_viewed,sessions_added,sessions_removed,sessions_checkout,orders,units_sold,revenue,view_to_cart_rate,cart_to_order_rate,view_to_order_rate,cart_removal_rate,revenue_rank,revenue_rank_in_category,revenue_share,cumulative_revenue_share
GGOE000006,Google Charcoal Crewneck Sweatshirt,Apparel,60.91,259,16,1,5,3,4.0,243.64,0.0618,0.1875,0.0116,0.0625,127,28,0.0008,0.9709
GGOE000010,Google Black Tee,Apparel,37.88,517,47,3,15,6,6.0,227.28,0.0909,0.1277,0.0116,0.0638,133,29,0.0007,0.9753
GGOE000019,Google Olive Cap Sleeve Tee,Apparel,53.27,276,31,4,10,4,4.0,213.08,0.1123,0.129,0.0145,0.129,137,30,0.0007,0.9782
GGOE200057,Google Navy Backpack,Bags,90.41,4894,378,27,133,72,92.0,8317.72,0.0772,0.1905,0.0147,0.0714,7,1,0.0266,0.3109
GGOE200076,Google Charcoal Duffel Bag,Bags,58.76,6093,542,35,186,104,119.0,6992.44,0.089,0.1919,0.0171,0.0646,11,2,0.0224,0.4054
GGOE200071,Google Charcoal Laptop Sleeve,Bags,71.98,4060,355,19,117,66,79.0,5686.42,0.0874,0.1859,0.0163,0.0535,17,3,0.0182,0.5221
GGOE200078,Google White Duffel Bag,Bags,89.06,1643,154,7,67,43,47.0,4185.82,0.0937,0.2792,0.0262,0.0455,22,4,0.0134,0.6011
GGOE200075,Google Black Duffel Bag,Bags,57.36,2785,234,16,84,54,70.0,4015.2,0.084,0.2308,0.0194,0.0684,24,5,0.0128,0.6273
GGOE200077,Google Navy Duffel Bag,Bags,101.12,1194,98,7,39,23,26.0,2629.12,0.0821,0.2347,0.0193,0.0714,32,6,0.0084,0.7125
GGOE200067,Google Navy Sling Bag,Bags,59.95,1468,122,10,48,27,37.0,2218.15,0.0831,0.2213,0.0184,0.082,36,7,0.0071,0.7439
GGOE200079,Google Olive Duffel Bag,Bags,115.15,843,66,2,25,15,17.0,1957.55,0.0783,0.2273,0.0178,0.0303,41,8,0.0063,0.7767
GGOE200055,Google Black Backpack,Bags,114.78,648,47,1,18,14,16.0,1836.48,0.0725,0.2979,0.0216,0.0213,42,9,0.0059,0.7826
GGOE200069,Google Olive Sling Bag,Bags,75.22,662,55,2,28,19,22.0,1654.84,0.0831,0.3455,0.0287,0.0364,44,10,0.0053,0.7934
GGOE200064,Google Olive Tote Bag,Bags,97.99,534,44,1,16,9,13.0,1273.87,0.0824,0.2045,0.0169,0.0227,54,11,0.0041,0.8373
GGOE200063,Google White Tote Bag,Bags,112.97,247,26,4,11,8,10.0,1129.7,0.1053,0.3077,0.0324,0.1538,57,12,0.0036,0.8487
GGOE200058,Google White Backpack,Bags,41.08,364,23,3,13,12,16.0,657.28,0.0632,0.5217,0.033,0.1304,76,13,0.0021,0.9048
GGOE200074,Google Olive Laptop Sleeve,Bags,31.7,845,82,7,25,15,18.0,570.6,0.097,0.1829,0.0178,0.0854,83,14,0.0018,0.9183
GGOE200061,Google Charcoal Tote Bag,Bags,79.18,368,31,2,14,6,6.0,475.08,0.0842,0.1935,0.0163,0.0645,92,15,0.0015,0.9332
GGOE200056,Google Charcoal Backpack,Bags,77.78,204,17,0,8,4,5.0,388.9,0.0833,0.2353,0.0196,0.0,104,16,0.0012,0.9492
GGOE200066,Google Charcoal Sling Bag,Bags,89.31,273,15,1,5,3,3.0,267.93,0.0549,0.2,0.011,0.0667,120,17,0.0009,0.9652
GGOE200070,Google Black Laptop Sleeve,Bags,49.68,133,18,0,9,4,4.0,198.72,0.1353,0.2222,0.0301,0.0,142,18,0.0006,0.9815
GGOE200062,Google Navy Tote Bag,Bags,90.0,177,12,1,2,1,2.0,180.0,0.0678,0.0833,0.0056,0.0833,146,19,0.0006,0.9839
GGOE200065,Google Black Sling Bag,Bags,88.66,100,11,1,5,2,2.0,177.32,0.11,0.1818,0.02,0.0909,147,20,0.0006,0.9844
GGOE200072,Google Navy Laptop Sleeve,Bags,123.14,220,12,0,5,1,1.0,123.14,0.0545,0.0833,0.0045,0.0,157,21,0.0004,0.9893
GGOE200059,Google Olive Backpack,Bags,38.17,111,7,1,2,2,3.0,114.51,0.0631,0.2857,0.018,0.1429,161,22,0.0004,0.9908
GGOE200060,Google Black Tote Bag,Bags,101.87,129,9,0,2,1,1.0,101.87,0.0698,0.1111,0.0078,0.0,167,23,0.0003,0.9928
GGOE200068,Google White Sling Bag,Bags,28.54,123,12,0,2,2,2.0,57.08,0.0976,0.1667,0.0163,0.0,187,24,0.0002,0.9975
GGOE200073,Google White Laptop Sleeve,Bags,51.9,210,14,1,3,1,1.0,51.9,0.0667,0.0714,0.0048,0.0714,190,25,0.0002,0.998
GGOE500136,Google Charcoal Bluetooth Speaker,Electronics,202.33,2048,141,12,53,32,36.0,7283.88,0.0688,0.227,0.0156,0.0851,10,1,0.0233,0.383
GGOE500143,Google White USB-C Hub,Electronics,130.77,1625,107,9,40,24,29.0,3792.33,0.0658,0.2243,0.0148,0.0841,26,2,0.0121,0.6523
GGOE500138,Google White Bluetooth Speaker,Electronics,169.81,1036,67,2,22,16,19.0,3226.39,0.0647,0.2388,0.0154,0.0299,29,3,0.0103,0.6851
GGOE500146,Google Charcoal Earbuds Case,Electronics,86.34,2081,139,9,45,26,30.0,2590.2,0.0668,0.1871,0.0125,0.0647,33,4,0.0083,0.7208
GGOE500149,Google Olive Earbuds Case,Electronics,29.0,2738,218,12,82,44,50.0,1450.0,0.0796,0.2018,0.0161,0.055,47,5,0.0046,0.8074
GGOE500134,Google Olive Wireless Charger,Electronics,134.32,553,36,2,13,8,10.0,1343.2,0.0651,0.2222,0.0145,0.0556,50,6,0.0043,0.8205
GGOE500145,Google Black Earbuds Case,Electronics,74.39,750,61,7,26,16,18.0,1339.02,0.0813,0.2623,0.0213,0.1148,52,7,0.0043,0.8291
GGOE500132,Google Navy Wireless Charger,Electronics,132.5,305,22,1,10,6,8.0,1060.0,0.0721,0.2727,0.0197,0.0455,61,8,0.0034,0.8624
GGOE500135,Google Black Bluetooth Speaker,Electronics,29.22,1686,138,9,47,28,29.0,847.38,0.0819,0.2029,0.0166,0.0652,71,9,0.0027,0.8926
GGOE500137,Google Navy Bluetooth Speaker,Electronics,114.23,521,44,3,12,6,7.0,799.61,0.0845,0.1364,0.0115,0.0682,73,10,0.0026,0.8978
GGOE500133,Google White Wireless Charger,Electronics,89.17,788,54,1,17,8,8.0,713.36,0.0685,0.1481,0.0102,0.0185,75,11,0.0023,0.9026
GGOE500153,Google White Power Bank,Electronics,127.5,142,10,2,6,5,5.0,637.5,0.0704,0.5,0.0352,0.2,78,12,0.002,0.9089
GGOE500151,Google Charcoal Power Bank,Electronics,190.79,238,10,2,4,3,3.0,572.37,0.042,0.3,0.0126,0.2,81,13,0.0018,0.9146
GGOE500144,Google Olive USB-C Hub,Electronics,112.6,181,13,2,5,3,5.0,563.0,0.0718,0.2308,0.0166,0.1538,84,14,0.0018,0.9201
GGOE500150,Google Black Power Bank,Electronics,177.86,267,25,0,8,3,3.0,533.58,0.0936,0.12,0.0112,0.0,87,15,0.0017,0.9252
GGOE500148,Google White Earbuds Case,Electronics,106.2,507,42,3,9,4,5.0,531.0,0.0828,0.0952,0.0079,0.0714,88,16,0.0017,0.9269
GGOE500139,Google Olive Bluetooth Speaker,Electronics,40.31,336,30,0,12,10,10.0,403.1,0.0893,0.3333,0.0298,0.0,98,17,0.0013,0.9417
GGOE500142,Google Navy USB-C Hub,Electronics,198.5,174,6,0,3,2,2.0,397.0,0.0345,0.3333,0.0115,0.0,99,18,0.0013,0.9429
GGOE500131,Google Charcoal Wireless Charger,Electronics,196.15,174,12,0,3,1,2.0,392.3,0.069,0.0833,0.0057,0.0,101,19,0.0013,0.9455
GGOE500141,Google Charcoal USB-C Hub,Electronics,115.78,264,18,1,2,2,2.0,231.56,0.0682,0.1111,0.0076,0.0556,130,20,0.0007,0.9731
GGOE500140,Google Black USB-C Hub,Electronics,115.03,112,5,0,2,2,2.0,230.06,0.0446,0.4,0.0179,0.0,132,21,0.0007,0.9746
GGOE500130,Google Black Wireless Charger,Electronics,56.56,456,28,1,10,4,4.0,226.24,0.0614,0.1429,0.0088,0.0357,135,22,0.0007,0.9768
GGOE500154,Google Olive Power Bank,Electronics,45.09,107,15,2,10,4,5.0,225.45,0.1402,0.2667,0.0374,0.1333,136,23,0.0007,0.9775
GGOE500152,Google Navy Power Bank,Electronics,50.95,347,18,2,6,3,3.0,152.85,0.0519,0.1667,0.0086,0.1111,152,24,0.0005,0.9871
GGOE500147,Google Navy Earbuds Case,Electronics,121.32,117,14,1,5,1,1.0,121.32,0.1197,0.0714,0.0085,0.0714,158,25,0.0004,0.9897
GGOE300103,Google White Mouse Pad,Office,38.83,5856,604,40,225,133,160.0,6212.8,0.1031,0.2202,0.0227,0.0662,13,1,0.0199,0.4459
GGOE300104,Google Olive Mouse Pad,Office,31.59,3086,350,23,131,62,70.0,2211.3,0.1134,0.1771,0.0201,0.0657,37,2,0.0071,0.751
GGOE300081,Google Charcoal Notebook,Office,17.44,1162,121,7,45,28,34.0,592.96,0.1041,0.2314,0.0241,0.0579,80,3,0.0019,0.9128
GGOE300095,Google Black Pen Set,Office,25.95,532,65,6,26,17,22.0,570.9,0.1222,0.2615,0.032,0.0923,82,4,0.0018,0.9164
GGOE300086,Google Charcoal Sticky Notes,Office,29.45,612,56,4,27,16,16.0,471.2,0.0915,0.2857,0.0261,0.0714,93,5,0.0015,0.9347
GGOE300100,Google Black Mouse Pad,Office,36.53,855,77,4,22,11,12.0,438.36,0.0901,0.1429,0.0129,0.0519,95,6,0.0014,0.9376
GGOE300094,Google Olive Desk Pad,Office,13.46,1258,129,11,50,27,32.0,430.72,0.1025,0.2093,0.0215,0.0853,96,7,0.0014,0.939
GGOE300087,Google Navy Sticky Notes,Office,19.55,824,100,9,41,20,22.0,430.1,0.1214,0.2,0.0243,0.09,97,8,0.0014,0.9404
GGOE300096,Google Charcoal Pen Set,Office,15.75,571,73,5,27,20,25.0,393.75,0.1278,0.274,0.035,0.0685,100,9,0.0013,0.9442
GGOE300101,Google Charcoal Mouse Pad,Office,28.59,579,53,5,17,10,12.0,343.08,0.0915,0.1887,0.0173,0.0943,108,10,0.0011,0.9537
GGOE300091,Google Charcoal Desk Pad,Office,28.46,199,25,2,12,10,12.0,341.52,0.1256,0.4,0.0503,0.08,109,11,0.0011,0.9548
GGOE300093,Google White Desk Pad,Office,16.48,987,97,9,33,16,19.0,313.12,0.0983,0.1649,0.0162,0.0928,112,12,0.001,0.9579
GGOE300083,Google White Notebook,Office,8.34,946,116,8,55,28,35.0,291.9,0.1226,0.2414,0.0296,0.069,116,13,0.0009,0.9617
GGOE300099,Google Olive Pen Set,Office,38.55,406,37,5,15,6,7.0,269.85,0.0911,0.1622,0.0148,0.1351,119,14,0.0009,0.9644
GGOE300098,Google White Pen Set,Office,6.48,1184,142,10,59,37,40.0,259.2,0.1199,0.2606,0.0313,0.0704,122,15,0.0008,0.9669
GGOE300089,Google Olive Sticky Notes,Office,21.04,400,51,4,15,9,10.0,210.4,0.1275,0.1765,0.0225,0.0784,139,16,0.0007,0.9795
GGOE300092,Google Navy Desk Pad,Office,18.95,277,19,4,12,9,11.0,208.45,0.0686,0.4737,0.0325,0.2105,140,17,0.0007,0.9802
GGOE300102,Google Navy Mouse Pad,Office,12.1,542,59,3,24,10,11.0,133.1,0.1089,0.1695,0.0185,0.0508,156,18,0.0004,0.9889
GGOE300080,Google Black Notebook,Office,27.24,224,25,0,6,3,4.0,108.96,0.1116,0.12,0.0134,0.0,164,19,0.0003,0.9919
GGOE300090,Google Black Desk Pad,Office,7.79,416,35,4,9,7,8.0,62.32,0.0841,0.2,0.0168,0.1143,183,20,0.0002,0.9968
GGOE300084,Google Olive Notebook,Office,2.86,675,68,4,26,18,21.0,60.06,0.1007,0.2647,0.0267,0.0588,184,21,0.0002,0.9969
GGOE300097,Google Navy Pen Set,Office,5.33,391,45,2,14,6,7.0,37.31,0.1151,0.1333,0.0153,0.0444,194,22,0.0001,0.9986
GGOE300085,Google Black Sticky Notes,Office,5.42,311,55,4,15,6,6.0,32.52,0.1768,0.1091,0.0193,0.0727,199,23,0.0001,0.9991
GGOE300088,Google White Sticky Notes,Office,8.13,235,32,2,6,2,2.0,16.26,0.1362,0.0625,0.0085,0.0625,209,24,0.0001,0.9999
GGOE300082,Google Navy Notebook,Office,32.93,183,12,0,3,0,0.0,0.0,0.0656,0.0,0.0,0.0,214,25,0.0,1.0
GGOE400129,Google Olive Sunglasses,Accessories,28.09,34114,3608,293,1305,770,943.0,26488.87,0.1058,0.2134,0.0226,0.0812,1,1,0.0848,0.0848
GGOE400120,Google Black Lanyard,Accessories,27.95,18910,1938,144,717,427,516.0,14422.2,0.1025,0.2203,0.0226,0.0743,3,2,0.0462,0.1901
GGOE400116,Google Charcoal Enamel Pin,Accessories,35.1,3513,347,25,139,72,81.0,2843.1,0.0988,0.2075,0.0205,0.072,31,3,0.0091,0.7041
GGOE400112,Google Navy Socks,Accessories,16.54,6215,649,45,228,127,156.0,2580.24,0.1044,0.1957,0.0204,0.0693,34,4,0.0083,0.729
GGOE400127,Google Navy Sunglasses,Accessories,9.93,4603,501,37,183,93,111.0,1102.23,0.1088,0.1856,0.0202,0.0739,58,5,0.0035,0.8522
GGOE400109,Google Olive Keychain,Accessories,41.01,1191,106,7,38,21,26.0,1066.26,0.089,0.1981,0.0176,0.066,60,6,0.0034,0.859
GGOE400118,Google White Enamel Pin,Accessories,21.72,1501,149,6,60,37,46.0,999.12,0.0993,0.2483,0.0247,0.0403,64,7,0.0032,0.8721
GGOE400125,Google Black Sunglasses,Accessories,24.25,1357,126,12,47,32,39.0,945.75,0.0929,0.254,0.0236,0.0952,66,8,0.003,0.8783
GGOE400105,Google Black Keychain,Accessories,33.39,777,77,4,35,20,25.0,834.75,0.0991,0.2597,0.0257,0.0519,72,9,0.0027,0.8953
GGOE400106,Google Charcoal Keychain,Accessories,22.42,1058,113,8,38,21,24.0,538.08,0.1068,0.1858,0.0198,0.0708,85,10,0.0017,0.9218
GGOE400110,Google Black Socks,Accessories,22.69,830,84,5,26,15,16.0,363.04,0.1012,0.1786,0.0181,0.0595,105,11,0.0012,0.9504
GGOE400114,Google Olive Socks,Accessories,11.25,946,109,10,43,28,30.0,337.5,0.1152,0.2569,0.0296,0.0917,110,12,0.0011,0.9559
GGOE400119,Google Olive Enamel Pin,Accessories,29.72,201,22,1,10,8,10.0,297.2,0.1095,0.3636,0.0398,0.0455,115,13,0.001,0.9608
GGOE400126,Google Charcoal Sunglasses,Accessories,17.52,548,53,0,22,13,15.0,262.8,0.0967,0.2453,0.0237,0.0,121,14,0.0008,0.9661
GGOE400121,Google Charcoal Lanyard,Accessories,30.64,438,40,3,12,7,8.0,245.12,0.0913,0.175,0.016,0.075,125,15,0.0008,0.9693
GGOE400117,Google Navy Enamel Pin,Accessories,33.5,137,13,1,8,5,7.0,234.5,0.0949,0.3846,0.0365,0.0769,129,16,0.0008,0.9724
GGOE400123,Google White Lanyard,Accessories,21.05,797,85,5,25,10,11.0,231.55,0.1066,0.1176,0.0125,0.0588,131,17,0.0007,0.9739
GGOE400122,Google Navy Lanyard,Accessories,7.46,1013,113,7,41,22,23.0,171.58,0.1115,0.1947,0.0217,0.0619,148,18,0.0005,0.985
GGOE400108,Google White Keychain,Accessories,7.95,357,30,3,15,11,14.0,111.3,0.084,0.3667,0.0308,0.1,162,19,0.0004,0.9911
GGOE400111,Google Charcoal Socks,Accessories,12.3,208,27,0,11,7,8.0,98.4,0.1298,0.2593,0.0337,0.0,168,20,0.0003,0.9932
GGOE400113,Google White Socks,Accessories,27.75,127,11,0,3,2,3.0,83.25,0.0866,0.1818,0.0157,0.0,171,21,0.0003,0.994
GGOE400115,Google Black Enamel Pin,Accessories,39.12,152,14,1,5,2,2.0,78.24,0.0921,0.1429,0.0132,0.0714,175,22,0.0003,0.995
GGOE400124,Google Olive Lanyard,Accessories,5.71,505,61,2,20,8,10.0,57.1,0.1208,0.1311,0.0158,0.0328,186,23,0.0002,0.9973
GGOE400128,Google White Sunglasses,Accessories,8.24,135,18,0,8,6,6.0,49.44,0.1333,0.3333,0.0444,0.0,191,24,0.0002,0.9982
GGOE400107,Google Navy Keychain,Accessories,15.16,172,17,1,6,1,1.0,15.16,0.0988,0.0588,0.0058,0.0588,210,25,0.0,0.9999
GGOE600169,Google Olive Picnic Set,Lifestyle,86.23,4973,436,32,142,85,100.0,8623.0,0.0877,0.195,0.0171,0.0734,6,1,0.0276,0.2843
GGOE600177,Google Navy Candle,Lifestyle,89.39,2902,256,19,95,51,61.0,5452.79,0.0882,0.1992,0.0176,0.0742,18,2,0.0174,0.5395
GGOE600155,Google Black Yoga Mat,Lifestyle,63.78,3664,312,23,118,73,85.0,5421.3,0.0852,0.234,0.0199,0.0737,19,3,0.0173,0.5569
GGOE600160,Google Black Blanket,Lifestyle,18.62,9875,923,57,321,176,215.0,4003.3,0.0935,0.1907,0.0178,0.0618,25,4,0.0128,0.6401
GGOE600161,Google Charcoal Blanket,Lifestyle,83.28,1653,130,9,55,36,44.0,3664.32,0.0786,0.2769,0.0218,0.0692,27,5,0.0117,0.664
GGOE600172,Google Navy Plant Pot,Lifestyle,30.48,2400,218,14,81,45,56.0,1706.88,0.0908,0.2064,0.0188,0.0642,43,6,0.0055,0.7881
GGOE600176,Google Charcoal Candle,Lifestyle,44.81,1764,141,8,47,25,31.0,1389.11,0.0799,0.1773,0.0142,0.0567,48,7,0.0044,0.8118
GGOE600156,Google Charcoal Yoga Mat,Lifestyle,32.5,2064,175,17,59,36,42.0,1365.0,0.0848,0.2057,0.0174,0.0971,49,8,0.0044,0.8162
GGOE600159,Google Olive Yoga Mat,Lifestyle,71.49,734,66,6,24,12,14.0,1000.86,0.0899,0.1818,0.0163,0.0909,63,9,0.0032,0.8689
GGOE600171,Google Charcoal Plant Pot,Lifestyle,51.2,618,52,3,22,16,18.0,921.6,0.0841,0.3077,0.0259,0.0577,67,10,0.0029,0.8813
GGOE600164,Google Olive Blanket,Lifestyle,54.39,548,49,2,19,11,12.0,652.68,0.0894,0.2245,0.0201,0.0408,77,11,0.0021,0.9068
GGOE600178,Google White Candle,Lifestyle,81.33,161,11,0,5,5,6.0,487.98,0.0683,0.4545,0.0311,0.0,91,12,0.0016,0.9317
GGOE600168,Google White Picnic Set,Lifestyle,35.37,541,37,3,12,10,11.0,389.07,0.0684,0.2703,0.0185,0.0811,102,13,0.0012,0.9467
GGOE600157,Google Navy Yoga Mat,Lifestyle,62.75,255,28,0,9,4,5.0,313.75,0.1098,0.1429,0.0157,0.0,111,14,0.001,0.9569
GGOE600175,Google Black Candle,Lifestyle,13.59,706,75,11,27,15,20.0,271.8,0.1062,0.2,0.0212,0.1467,118,15,0.0009,0.9635
GGOE600165,Google Black Picnic Set,Lifestyle,39.67,330,25,0,10,5,6.0,238.02,0.0758,0.2,0.0152,0.0,128,16,0.0008,0.9716
GGOE600173,Google White Plant Pot,Lifestyle,84.88,56,4,0,3,2,2.0,169.76,0.0714,0.5,0.0357,0.0,149,17,0.0005,0.9855
GGOE600174,Google Olive Plant Pot,Lifestyle,23.17,235,30,4,10,6,7.0,162.19,0.1277,0.2,0.0255,0.1333,151,18,0.0005,0.9866
GGOE600166,Google Charcoal Picnic Set,Lifestyle,76.38,159,16,1,6,2,2.0,152.76,0.1006,0.125,0.0126,0.0625,153,19,0.0005,0.9876
GGOE600163,Google White Blanket,Lifestyle,12.99,299,35,1,13,9,9.0,116.91,0.1171,0.2571,0.0301,0.0286,159,20,0.0004,0.9901
GGOE600167,Google Navy Picnic Set,Lifestyle,74.66,156,12,1,2,1,1.0,74.66,0.0769,0.0833,0.0064,0.0833,176,21,0.0002,0.9953
GGOE600179,Google Olive Candle,Lifestyle,69.89,87,8,1,2,1,1.0,69.89,0.092,0.125,0.0115,0.125,179,22,0.0002,0.9959
GGOE600170,Google Black Plant Pot,Lifestyle,33.27,105,8,1,2,1,1.0,33.27,0.0762,0.125,0.0095,0.125,197,23,0.0001,0.9989
GGOE600162,Google Navy Blanket,Lifestyle,28.42,220,15,1,3,1,1.0,28.42,0.0682,0.0667,0.0045,0.0667,202,24,0.0001,0.9994
GGOE600158,Google White Yoga Mat,Lifestyle,68.16,163,10,2,1,0,0.0,0.0,0.0613,0.0,0.0,0.2,214,25,0.0,1.0
GGOE800200,Google Black Pencil Pack,Stationery,14.44,17214,1826,126,677,407,508.0,7335.52,0.1061,0.2229,0.0236,0.069,9,1,0.0235,0.3597
GGOE800213,Google White Journal,Stationery,14.87,743,80,5,29,19,21.0,312.27,0.1077,0.2375,0.0256,0.0625,113,2,0.001,0.9589
GGOE800207,Google Navy Highlighter Set,Stationery,12.84,732,68,2,22,16,19.0,243.96,0.0929,0.2353,0.0219,0.0294,126,3,0.0008,0.9701
GGOE800214,Google Olive Journal,Stationery,13.45,717,71,3,24,10,11.0,147.95,0.099,0.1408,0.0139,0.0423,154,4,0.0005,0.988
GGOE800215,Google Black Sticker Sheet,Stationery,13.82,252,21,1,7,7,8.0,110.56,0.0833,0.3333,0.0278,0.0476,163,5,0.0004,0.9915
GGOE800206,Google Charcoal Highlighter Set,Stationery,4.11,758,81,7,29,17,22.0,90.42,0.1069,0.2099,0.0224,0.0864,170,6,0.0003,0.9937
GGOE800205,Google Black Highlighter Set,Stationery,5.67,566,55,6,16,13,14.0,79.38,0.0972,0.2364,0.023,0.1091,173,7,0.0003,0.9945
GGOE800210,Google Black Journal,Stationery,13.11,161,23,1,8,5,6.0,78.66,0.1429,0.2174,0.0311,0.0435,174,8,0.0003,0.9948
GGOE800201,Google Charcoal Pencil Pack,Stationery,17.55,63,8,0,3,3,4.0,70.2,0.127,0.375,0.0476,0.0,177,9,0.0002,0.9955
GGOE800202,Google Navy Pencil Pack,Stationery,10.01,332,39,2,11,6,7.0,70.07,0.1175,0.1538,0.0181,0.0513,178,10,0.0002,0.9957
GGOE800208,Google White Highlighter Set,Stationery,3.95,416,57,3,23,15,16.0,63.2,0.137,0.2632,0.0361,0.0526,182,11,0.0002,0.9966
GGOE800217,Google Navy Sticker Sheet,Stationery,3.98,205,27,1,9,6,8.0,31.84,0.1317,0.2222,0.0293,0.037,201,12,0.0001,0.9993
GGOE800211,Google Charcoal Journal,Stationery,11.3,80,10,0,3,2,2.0,22.6,0.125,0.2,0.025,0.0,204,13,0.0001,0.9996
GGOE800209,Google Olive Highlighter Set,Stationery,10.1,36,5,0,3,2,2.0,20.2,0.1389,0.4,0.0556,0.0,205,14,0.0001,0.9996
GGOE800218,Google White Sticker Sheet,Stationery,16.84,82,11,0,1,1,1.0,16.84,0.1341,0.0909,0.0122,0.0,206,15,0.0001,0.9997
GGOE800219,Google Olive Sticker Sheet,Stationery,8.36,373,40,2,8,2,2.0,16.72,0.1072,0.05,0.0054,0.05,207,16,0.0001,0.9997
