event_date,day_of_week,users,new_users,returning_users,sessions,transactions,revenue,items_sold,first_orders,repeat_orders,repeat_revenue,sessions_per_user,product_view_rate,view_to_cart_rate,cart_to_checkout_rate,checkout_to_purchase_rate,session_conversion_rate,cart_abandonment_rate,checkout_abandonment_rate,average_order_value,revenue_per_user,revenue_per_session,items_per_order,repeat_revenue_share,revenue_7d_avg,sessions_7d_avg,revenue_wow_growth,users_wow_growth,new_users_wow_growth
2024-09-15,Sunday,1845,1187,658,1845,39,2467.93,69.0,37,2,126.4,1.0,0.6249,0.1405,0.3765,0.6393,0.0211,0.6235,0.3607,63.28,1.34,1.34,1.77,0.0512,2333.53,1869.0,0.6763,0.2194,0.097
2024-09-16,Monday,1979,1365,614,1979,37,2512.54,68.0,33,4,200.86,1.0,0.6104,0.1498,0.3094,0.6607,0.0187,0.6906,0.3393,67.91,1.27,1.27,1.84,0.0799,2459.07,1892.7,0.5379,0.0916,-0.0022
2024-09-17,Tuesday,2029,1361,668,2029,36,2602.89,66.0,34,2,373.77,1.0,0.6254,0.1292,0.4085,0.5522,0.0182,0.5915,0.4478,72.3,1.28,1.28,1.83,0.1436,2391.95,1910.0,-0.1529,0.0634,-0.0382
2024-09-18,Wednesday,2181,1439,742,2181,29,2175.85,61.0,25,4,193.4,1.0,0.6465,0.1248,0.3125,0.5091,0.0128,0.6875,0.4909,75.03,1.0,1.0,2.1,0.0889,2262.56,1964.7,-0.2939,0.213,0.1061
2024-09-19,Thursday,2099,1418,681,2099,45,3332.81,92.0,43,2,163.19,1.0,0.626,0.1431,0.3989,0.6133,0.0219,0.6011,0.3867,74.06,1.59,1.59,2.04,0.049,2495.99,1989.1,0.9619,0.0887,0.0231
2024-09-20,Friday,2186,1457,729,2186,35,2250.11,66.0,34,1,14.44,1.0,0.6295,0.1388,0.3089,0.5763,0.0156,0.6911,0.4237,64.29,1.03,1.03,1.89,0.0064,2543.56,2019.0,0.1737,0.1057,0.0474
2024-09-21,Saturday,1960,1191,769,1960,43,3177.73,95.0,42,1,162.75,1.0,0.6454,0.1447,0.388,0.6056,0.0219,0.612,0.3944,73.9,1.62,1.62,2.21,0.0512,2645.69,2039.9,0.2903,0.0805,0.0034
2024-09-22,Sunday,1987,1196,791,1987,40,2847.92,80.0,38,2,290.92,1.0,0.6286,0.1441,0.3611,0.6154,0.0201,0.6389,0.3846,71.2,1.43,1.43,2.0,0.1022,2699.98,2060.1,0.154,0.077,0.0076
2024-09-23,Monday,2154,1423,731,2154,34,2358.53,69.0,32,2,93.35,1.0,0.6114,0.1374,0.326,0.5932,0.0162,0.674,0.4068,69.37,1.09,1.09,2.03,0.0396,2677.98,2085.1,-0.0613,0.0884,0.0425
2024-09-24,Tuesday,2154,1410,744,2154,48,3069.63,99.0,42,6,390.51,1.0,0.6286,0.1536,0.3798,0.6456,0.0237,0.6202,0.3544,63.95,1.43,1.43,2.06,0.1272,2744.65,2103.0,0.1793,0.0616,0.036
2024-09-25,Wednesday,2235,1428,807,2235,39,3256.4,75.0,36,3,172.02,1.0,0.6304,0.1306,0.3424,0.5714,0.0161,0.6576,0.4286,83.5,1.46,1.46,1.92,0.0528,2899.02,2110.7,0.4966,0.0248,-0.0076
2024-09-26,Thursday,2279,1488,791,2279,33,1922.75,61.0,28,5,305.52,1.0,0.6266,0.1239,0.3333,0.5424,0.014,0.6667,0.4576,58.27,0.84,0.84,1.85,0.1589,2697.58,2136.4,-0.4231,0.0858,0.0494
2024-09-27,Friday,2228,1410,818,2228,46,2976.71,83.0,42,4,288.25,1.0,0.6212,0.146,0.3762,0.6053,0.0206,0.6238,0.3947,64.71,1.34,1.34,1.8,0.0968,2801.38,2142.4,0.3229,0.0192,-0.0323
2024-09-28,Saturday,2114,1316,798,2114,47,3496.11,96.0,45,2,225.19,1.0,0.6367,0.1568,0.4028,0.5647,0.0227,0.5972,0.4353,74.39,1.65,1.65,2.04,0.0644,2846.86,2164.4,0.1002,0.0786,0.105
2024-09-29,Sunday,2019,1234,785,2019,31,2032.78,60.0,30,1,19.77,1.0,0.627,0.1343,0.3118,0.566,0.0149,0.6882,0.434,65.57,1.01,1.01,1.94,0.0097,2730.42,2169.0,-0.2862,0.0161,0.0318
2024-09-30,Monday,2358,1490,868,2358,44,3338.38,87.0,37,7,453.59,1.0,0.6217,0.1542,0.3673,0.5422,0.0191,0.6327,0.4578,75.87,1.42,1.42,1.98,0.1359,2870.39,2198.1,0.4154,0.0947,0.0471
2024-10-01,Tuesday,2278,1510,768,2278,47,3391.49,95.0,45,2,49.18,1.0,0.6352,0.1258,0.3846,0.6714,0.0206,0.6154,0.3286,72.16,1.49,1.49,2.02,0.0145,2916.37,2215.9,0.1049,0.0576,0.0709
2024-10-02,Wednesday,2229,1469,760,2229,31,1969.22,49.0,27,4,200.85,1.0,0.6214,0.1271,0.3182,0.5357,0.0135,0.6818,0.4643,63.52,0.88,0.88,1.58,0.102,2732.49,2215.0,-0.3953,-0.0027,0.0287
2024-10-03,Thursday,2302,1437,865,2302,36,2320.13,70.0,32,4,253.83,1.0,0.6203,0.1499,0.3084,0.5455,0.0156,0.6916,0.4545,64.45,1.01,1.01,1.94,0.1094,2789.26,2218.3,0.2067,0.0101,-0.0343
2024-10-04,Friday,2286,1462,824,2286,34,2538.63,66.0,32,2,54.4,1.0,0.6426,0.1232,0.3812,0.4928,0.0149,0.6188,0.5072,74.67,1.11,1.11,1.94,0.0214,2726.68,2226.6,-0.1472,0.026,0.0369
2024-10-05,Saturday,2081,1239,842,2081,38,2276.7,71.0,33,5,493.71,1.0,0.6228,0.135,0.3886,0.5735,0.0187,0.6114,0.4265,59.91,1.09,1.09,1.87,0.2169,2552.48,2221.9,-0.3488,-0.0156,-0.0585
2024-10-06,Sunday,2119,1243,876,2119,40,3031.28,89.0,37,3,297.72,1.0,0.6366,0.1416,0.3455,0.5909,0.0184,0.6545,0.4091,75.78,1.43,1.43,2.23,0.0982,2695.12,2236.1,0.4912,0.0495,0.0073
2024-10-07,Monday,2303,1478,825,2303,35,2246.86,68.0,31,4,129.11,1.0,0.6192,0.1332,0.3421,0.5538,0.0156,0.6579,0.4462,64.2,0.98,0.98,1.94,0.0575,2539.19,2228.3,-0.327,-0.0233,-0.0081
2024-10-08,Tuesday,2308,1448,860,2308,49,3193.64,87.0,45,4,145.11,1.0,0.6183,0.1359,0.3969,0.6234,0.0208,0.6031,0.3766,65.18,1.38,1.38,1.78,0.0454,2510.92,2232.6,-0.0583,0.0132,-0.0411
2024-10-09,Wednesday,2373,1522,851,2373,40,2943.77,81.0,38,2,122.58,1.0,0.6393,0.1318,0.42,0.4762,0.0169,0.58,0.5238,73.59,1.24,1.24,2.03,0.0416,2650.14,2253.1,0.4949,0.0646,0.0361
2024-10-10,Thursday,2425,1567,858,2425,35,2482.43,58.0,29,6,371.88,1.0,0.6408,0.1338,0.3317,0.5072,0.0144,0.6683,0.4928,70.93,1.02,1.02,1.66,0.1498,2673.33,2270.7,0.07,0.0534,0.0905
2024-10-11,Friday,2389,1478,911,2389,46,3129.92,90.0,42,4,408.51,1.0,0.6116,0.165,0.3278,0.5823,0.0193,0.6722,0.4177,68.04,1.31,1.31,1.96,0.1305,2757.8,2285.4,0.2329,0.0451,0.0109
2024-10-12,Saturday,2206,1306,900,2206,34,2287.78,66.0,31,3,416.49,1.0,0.6369,0.1359,0.3665,0.4857,0.0154,0.6335,0.5143,67.29,1.04,1.04,1.94,0.182,2759.38,2303.3,0.0049,0.0601,0.0541
2024-10-13,Sunday,2056,1171,885,2056,32,1705.64,58.0,28,4,260.15,1.0,0.6235,0.1466,0.2872,0.5926,0.0156,0.7128,0.4074,53.3,0.83,0.83,1.81,0.1525,2570.01,2294.3,-0.4373,-0.0297,-0.0579
2024-10-14,Monday,2442,1564,878,2442,66,4528.01,134.0,60,6,462.83,1.0,0.6208,0.1524,0.4329,0.66,0.027,0.5671,0.34,68.61,1.85,1.85,2.03,0.1022,2895.88,2314.1,1.0153,0.0604,0.0582
2024-10-15,Tuesday,2388,1571,817,2388,39,2864.65,74.0,37,2,105.46,1.0,0.6181,0.1247,0.375,0.5797,0.0168,0.625,0.4203,73.45,1.2,1.2,1.9,0.0368,2848.89,2325.6,-0.103,0.0347,0.0849
2024-10-16,Wednesday,2483,1539,944,2483,50,4066.7,103.0,48,2,78.46,1.0,0.6532,0.1449,0.3745,0.5568,0.0197,0.6255,0.4432,81.33,1.64,1.64,2.06,0.0193,3009.3,2341.3,0.3815,0.0464,0.0112
2024-10-17,Thursday,2590,1605,985,2590,52,3480.32,101.0,49,3,65.85,1.0,0.6456,0.1459,0.3402,0.6386,0.0205,0.6598,0.3614,66.93,1.34,1.34,1.94,0.0189,3151.86,2364.9,0.402,0.068,0.0243
2024-10-18,Friday,2525,1581,944,2525,48,3314.37,90.0,46,2,145.86,1.0,0.6329,0.1345,0.3907,0.5833,0.0194,0.6093,0.4167,69.05,1.31,1.31,1.88,0.044,3178.21,2384.3,0.0589,0.0569,0.0697
2024-10-19,Saturday,2243,1296,947,2243,43,2790.94,80.0,39,4,265.36,1.0,0.6563,0.1542,0.3304,0.56,0.0187,0.6696,0.44,64.91,1.24,1.24,1.86,0.0951,3250.09,2389.6,0.2199,0.0168,-0.0077
2024-10-20,Sunday,2302,1336,966,2302,32,2642.23,62.0,29,3,389.52,1.0,0.6412,0.1389,0.3024,0.5323,0.0143,0.6976,0.4677,82.57,1.15,1.15,1.94,0.1474,3383.89,2424.7,0.5491,0.1196,0.1409
2024-10-21,Monday,2421,1495,926,2421,41,2728.48,79.0,37,4,209.64,1.0,0.6386,0.1455,0.3422,0.5065,0.0161,0.6578,0.4935,66.55,1.13,1.13,1.93,0.0768,3126.81,2421.7,-0.3974,-0.0086,-0.0441
2024-10-22,Tuesday,2516,1575,941,2516,58,4794.24,115.0,53,5,190.09,1.0,0.6236,0.1536,0.3942,0.6211,0.0234,0.6058,0.3789,82.66,1.91,1.91,1.98,0.0396,3402.47,2440.0,0.6736,0.0536,0.0025
2024-10-23,Wednesday,2557,1602,955,2557,57,3821.04,107.0,52,5,434.32,1.0,0.6445,0.1323,0.3991,0.6437,0.0219,0.6009,0.3563,67.04,1.49,1.49,1.88,0.1137,3367.37,2450.6,-0.0604,0.0298,0.0409
2024-10-24,Thursday,2642,1647,995,2642,45,2841.42,90.0,42,3,83.17,1.0,0.6185,0.1432,0.3333,0.5769,0.017,0.6667,0.4231,63.14,1.08,1.08,2.0,0.0293,3276.1,2458.0,-0.1836,0.0201,0.0262
2024-10-25,Friday,2637,1645,992,2637,47,3116.55,90.0,44,3,295.19,1.0,0.6352,0.1307,0.3927,0.5581,0.0182,0.6073,0.4419,66.31,1.18,1.18,1.91,0.0947,3247.84,2474.0,-0.0597,0.0444,0.0405
2024-10-26,Saturday,2281,1309,972,2281,50,3286.05,91.0,44,6,335.65,1.0,0.6445,0.1483,0.3716,0.6049,0.0215,0.6284,0.3951,65.72,1.44,1.44,1.82,0.1021,3318.57,2479.4,0.1774,0.0169,0.01
2024-10-27,Sunday,2332,1348,984,2332,54,4079.58,105.0,48,6,664.43,1.0,0.6565,0.1385,0.3726,0.6835,0.0232,0.6274,0.3165,75.55,1.75,1.75,1.94,0.1629,3523.91,2483.7,0.544,0.013,0.009
2024-10-28,Monday,2554,1594,960,2554,43,2633.35,82.0,39,4,254.5,1.0,0.6292,0.1263,0.3498,0.6056,0.0168,0.6502,0.3944,61.24,1.03,1.03,1.91,0.0966,3510.32,2502.7,-0.0349,0.0549,0.0662
2024-10-29,Tuesday,2627,1668,959,2627,49,3949.62,94.0,46,3,394.46,1.0,0.6174,0.1387,0.3556,0.6125,0.0187,0.6444,0.3875,80.6,1.5,1.5,1.92,0.0999,3389.66,2518.6,-0.1762,0.0441,0.059
2024-10-30,Wednesday,2631,1644,987,2631,47,2601.04,76.0,42,5,134.58,1.0,0.6268,0.1377,0.326,0.6351,0.0179,0.674,0.3649,55.34,0.99,0.99,1.62,0.0517,3215.37,2529.1,-0.3193,0.0289,0.0262
2024-10-31,Thursday,2618,1636,982,2618,55,3267.38,100.0,47,8,616.44,1.0,0.6287,0.1458,0.3667,0.625,0.021,0.6333,0.375,59.41,1.25,1.25,1.82,0.1887,3276.22,2525.7,0.1499,-0.0091,-0.0067
2024-11-01,Friday,2511,1533,978,2511,55,4212.61,115.0,52,3,296.56,1.0,0.6476,0.1476,0.3583,0.6395,0.0219,0.6417,0.3605,76.59,1.68,1.68,2.09,0.0704,3432.8,2507.7,0.3517,-0.0478,-0.0681
2024-11-02,Saturday,2416,1394,1022,2416,51,3718.15,102.0,48,3,47.75,1.0,0.6474,0.1355,0.3726,0.6456,0.0211,0.6274,0.3544,72.9,1.54,1.54,2.0,0.0128,3494.53,2527.0,0.1315,0.0592,0.0649
2024-11-03,Sunday,2445,1433,1012,2445,57,3324.17,107.0,51,6,416.48,1.0,0.6356,0.1596,0.3387,0.6786,0.0233,0.6613,0.3214,58.32,1.36,1.36,1.88,0.1253,3386.62,2543.1,-0.1852,0.0485,0.0631
2024-11-04,Monday,2655,1650,1005,2655,51,3546.58,98.0,40,11,604.77,1.0,0.6298,0.1453,0.3457,0.6071,0.0192,0.6543,0.3929,69.54,1.34,1.34,1.92,0.1705,3517.08,2557.6,0.3468,0.0395,0.0351
2024-11-05,Tuesday,2711,1709,1002,2711,53,3522.1,112.0,47,6,639.55,1.0,0.6271,0.1406,0.364,0.6092,0.0195,0.636,0.3908,66.45,1.3,1.3,2.11,0.1816,3456.0,2569.6,-0.1082,0.032,0.0246
2024-11-06,Wednesday,2684,1703,981,2684,48,3422.87,87.0,42,6,299.86,1.0,0.6356,0.129,0.3591,0.6203,0.0183,0.6409,0.3797,71.31,1.28,1.28,1.81,0.0876,3573.41,2577.1,0.316,0.0201,0.0359
2024-11-07,Thursday,2589,1644,945,2589,43,2365.35,73.0,41,2,276.76,1.0,0.6246,0.1404,0.3216,0.5753,0.0162,0.6784,0.4247,55.01,0.91,0.91,1.7,0.117,3444.55,2573.0,-0.2761,-0.0111,0.0049
2024-11-08,Friday,2693,1676,1017,2693,57,3188.37,104.0,54,3,124.31,1.0,0.632,0.134,0.4123,0.6064,0.0212,0.5877,0.3936,55.94,1.18,1.18,1.82,0.039,3298.23,2599.0,-0.2431,0.0725,0.0933
2024-11-09,Saturday,2395,1403,992,2395,47,3079.02,97.0,38,9,776.73,1.0,0.6392,0.1587,0.3374,0.5854,0.02,0.6626,0.4146,65.51,1.29,1.29,2.06,0.2523,3206.92,2596.0,-0.1719,-0.0087,0.0065
2024-11-10,Sunday,2503,1404,1099,2503,53,3893.53,106.0,49,4,192.87,1.0,0.6436,0.1428,0.3652,0.6429,0.0216,0.6348,0.3571,73.46,1.56,1.56,2.0,0.0495,3288.26,2604.3,0.1713,0.0237,-0.0202
2024-11-11,Monday,2655,1665,990,2655,51,3715.19,91.0,48,3,80.56,1.0,0.6105,0.1302,0.3981,0.5833,0.0185,0.6019,0.4167,72.85,1.4,1.4,1.78,0.0217,3312.35,2604.3,0.0475,0.0,0.0091
2024-11-12,Tuesday,2622,1651,971,2622,42,3118.18,81.0,38,4,443.65,1.0,0.6331,0.1446,0.3208,0.5455,0.016,0.6792,0.4545,74.24,1.19,1.19,1.93,0.1423,3254.64,2591.6,-0.1147,-0.0328,-0.0339
2024-11-13,Wednesday,2643,1659,984,2643,53,3608.41,94.0,47,6,201.75,1.0,0.6258,0.1427,0.322,0.6974,0.0201,0.678,0.3026,68.08,1.37,1.37,1.77,0.0559,3281.15,2585.7,0.0542,-0.0153,-0.0258
2024-11-14,Thursday,2781,1745,1036,2781,32,2042.06,61.0,30,2,98.12,1.0,0.6239,0.1349,0.2821,0.4848,0.0115,0.7179,0.5152,63.81,0.73,0.73,1.91,0.048,3234.97,2613.1,-0.1367,0.0742,0.0614
2024-11-15,Friday,2668,1699,969,2668,51,3453.94,98.0,44,7,268.43,1.0,0.6286,0.1455,0.3648,0.573,0.0191,0.6352,0.427,67.72,1.29,1.29,1.92,0.0777,3272.9,2609.6,0.0833,-0.0093,0.0137
2024-11-16,Saturday,2486,1441,1045,2486,45,2727.2,81.0,36,9,633.05,1.0,0.6416,0.1292,0.4417,0.5055,0.0185,0.5583,0.4945,60.6,1.1,1.1,1.8,0.2321,3222.64,2622.6,-0.1143,0.038,0.0271
2024-11-17,Sunday,2522,1467,1055,2522,52,3659.66,99.0,46,6,448.79,1.0,0.6427,0.1376,0.3498,0.6538,0.0202,0.6502,0.3462,70.38,1.45,1.45,1.9,0.1226,3189.23,2625.3,-0.0601,0.0076,0.0449
2024-11-18,Monday,2742,1669,1073,2742,46,3678.79,94.0,41,5,335.02,1.0,0.636,0.1479,0.3217,0.5663,0.0171,0.6783,0.4337,79.97,1.34,1.34,2.04,0.0911,3184.03,2637.7,-0.0098,0.0328,0.0024
2024-11-19,Tuesday,2837,1774,1063,2837,53,3247.16,92.0,50,3,226.44,1.0,0.6429,0.1393,0.3819,0.5567,0.019,0.6181,0.4433,61.27,1.14,1.14,1.74,0.0697,3202.46,2668.4,0.0414,0.082,0.0745
2024-11-20,Wednesday,2811,1703,1108,2811,50,3576.83,107.0,44,6,281.48,1.0,0.6325,0.1243,0.3665,0.5926,0.0171,0.6335,0.4074,71.54,1.27,1.27,2.14,0.0787,3197.95,2692.4,-0.0088,0.0636,0.0265
2024-11-21,Thursday,2837,1804,1033,2837,47,3915.15,103.0,44,3,293.36,1.0,0.6154,0.1369,0.3766,0.5333,0.0169,0.6234,0.4667,83.3,1.38,1.38,2.19,0.0749,3465.53,2700.4,0.9173,0.0201,0.0338
2024-11-22,Friday,2788,1752,1036,2788,59,4014.57,110.0,49,10,765.78,1.0,0.6237,0.1386,0.4025,0.6186,0.0215,0.5975,0.3814,68.04,1.44,1.44,1.86,0.1908,3545.62,2717.6,0.1623,0.045,0.0312
2024-11-23,Saturday,2533,1467,1066,2533,45,2838.92,84.0,39,6,388.79,1.0,0.6376,0.1368,0.3394,0.5733,0.017,0.6606,0.4267,63.09,1.12,1.12,1.87,0.1369,3561.58,2724.3,0.041,0.0189,0.018
2024-11-24,Sunday,2522,1433,1089,2522,52,4093.68,105.0,48,4,156.54,1.0,0.6542,0.1436,0.4219,0.53,0.021,0.5781,0.47,78.72,1.62,1.62,2.02,0.0382,3623.59,2724.3,0.1186,0.0,-0.0232
2024-11-25,Monday,5389,4279,1110,5389,131,9151.07,257.0,124,7,639.14,1.0,0.6365,0.1886,0.3539,0.5764,0.0245,0.6461,0.4236,69.86,1.7,1.7,1.96,0.0698,4405.34,3102.4,1.4875,0.9654,1.5638
2024-11-26,Tuesday,5608,4438,1170,5608,158,10598.2,286.0,145,13,994.78,1.0,0.6569,0.1876,0.4052,0.5714,0.0285,0.5948,0.4286,67.08,1.89,1.89,1.81,0.0939,5455.49,3498.3,2.2638,0.9767,1.5017
2024-11-27,Wednesday,5787,4394,1393,5787,145,11382.47,289.0,139,6,516.49,1.0,0.6433,0.1853,0.3797,0.5573,0.0252,0.6203,0.4427,78.5,1.97,1.97,1.99,0.0454,6570.58,3923.4,2.1823,1.0587,1.5802
2024-11-28,Thursday,5946,4439,1507,5946,195,14251.72,390.0,180,15,811.58,1.0,0.6549,0.1818,0.435,0.6201,0.0321,0.565,0.3799,73.09,2.4,2.4,2.0,0.0569,8047.23,4367.6,2.6401,1.0959,1.4606
2024-11-29,Friday,6073,4453,1620,6073,175,12660.16,355.0,161,14,1079.69,1.0,0.6549,0.178,0.435,0.5747,0.0291,0.565,0.4253,72.34,2.08,2.08,2.03,0.0853,9282.32,4836.9,2.1536,1.1783,1.5417
2024-11-30,Saturday,5483,3739,1744,5483,142,9250.95,268.0,128,14,704.96,1.0,0.6699,0.1811,0.391,0.5423,0.0257,0.609,0.4577,65.15,1.69,1.69,1.89,0.0762,10198.32,5258.3,2.2586,1.1646,1.5487
